,genre
*Bonaparte (Louis-Napoléon). Empereur sous le nom de Napoléon III : ,homme
*Chambord (comte de). Prétendant au trône de France. Appelé Henri V par les monarchistes : ,homme
Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ,femme
Amanda (Mlle). Chanteuse de café-concert : ,femme
Auguste. Marchand de vin traiteur : ,homme
Augustine. Apprentie blanchisseuse : ,femme
Baquet (la mère). Marchande de vin à La Chapelle : ,femme
Baudequin. Dessinateur : ,homme
Bazouge (le père). Croque-mort : ,homme
Bec-Salé (dit Boit-sans-soif). Ouvrier forgeron. Amant de la grosse Eulalie : ,homme
Bénard (les). Voisins des Lorilleux : ,indef
Bibi-la-Grillade. Ouvrier. Ami de Coupeau : ,homme
"Bijard (Eulalie, dite La-lie). Fille aînée des Bijard : ",femme
Bijard (Henriette). Seconde fille des Bijard : ,femme
Bijard (Jules). Troisième enfant des Bijard : ,homme
Bijard (Mme). Epouse du précédent : ,femme
Bijard. Ouvrier serrurier : ,homme
Boche (Mme). Epouse du précédent : ,femme
Boche (Pauline). Fille des précédents : ,femme
"Boche. Concierge de l'im-meuble habité par les Cou-peau, rue de la Goutte-d'Ot : ",homme
Bourguignon. Éntrepre-neur de plomberie : ,homme
Bru (le père). Ancien ouvrier peintrey : ,homme
Caroline. Ouvrière fleuriste : ,femme
Célestine. Amie de la grande Clémence : ,femme
Champion. Patron chapelier à Montrouge : ,homme
Charles. Boucher. — : ,homme
Charles. Garçon de lavoir : ,homme
Clémence. Ouvrière re- 'f passeuse : ,femme
Colombe (le père). Propriétaire de l'Assommoir : ,homme
Coquet (les). Voisins des Lorilleux : ,indef
Coudeloup (Mme). Boulangère : ,femme
Coudeloup. Époux de la précédente : ,homme
Coupeau (dit Cadet-Cassis). Époux de Gervaise Macquart. Père d'Anna. Frère de Mme Lerat et de Mme Lorilleux. Ouvrier zingueur. — : ,homme
"Coupeau (maman). Mère de Coupeau, de Mme Lerat et de Mme Lorilleux : ",femme
Cudorge (Mmes). Marchandes de parapluies: ,indef
"Eulalie. Maîtresse de Bec-Salé, dit Boit-sans-soif. Marchande de poissons : ",femme
Fauconnier (Mme). Blanchisseuse : ,femme
Fauconnier (Viâor). Fils de la précédente : ,homme
François. Marchand de vin : ,homme
Gaudron (fils). Ouvrier menuisier : ,homme
Gaudron (Mme). Car-deuse de matelas : ,femme
Gaudron. Mari de Mme Gaudron: : ,homme
Goujet (Mme). Mère du précédent : ,femme
Goujet (père). Mari décédé de la précédente : ,homme
"Goujet, dit Gueule-d'Or. Ouvrier forgeron : ",homme
Josse (Mlle). Maîtresse de pension : ,femme
Lantier (Auguste). Amant de Gervaise Macquart. Père de Claude* Jacques et Étienne Lantier. Ouvrier tanneur à Plassans : ,homme
Lantier (Claude). Premier fils de Gervaise Macquart et d'AuguSte Lantier. Frère d'Étienne et de Jacques Lantier: ,homme
Lantier (Etienne). Troisième fils de Gervaise Mac-quart et d'AuguSte Lantier: ,homme
Lehongre (Mme). Epouse du précédent : ,femme
Lehongre. Épicier : ,homme
Léonie. Ouvrière fleuriste : ,femme
Lerat (Mme). Sœur aînée de Mme Lorilleux et de Cou-peau. Ouvrière fleuriste : ,femme
Linguerlot (les). Voisins des Lorilleux : ,indef
Lisa. Ouvrière fleuriste : ,femme
Lorilleux (Mme). Épouse du précédent. Sœur de Cou-peau et de Mme Lerat : ,femme
Lorilleux. Beau-frère de Goupeau et de Mme Lerat. Ouvrier chaîniSte en chambre : ,homme
Louis (la mère). Marchande de vin à la Chapelle : ,femme
"Macquart (Antoine). Fils d'Adélaïde Fouque et de Macquart. Époux de Joséphine Gavaudan. Père de Lisa, Gervaise et Jean Mac-quart: ",homme
"Macquart (Gervaise). Fille d'Antoine Macquart et de Joséphine Gavaudan. Maîtresse d'AuguSte Lantier. Épouse de Coupeau. Mère de Claude, Jacques, Étienne Lantier et d'Anna Coupeau : ",femme
"Macquart (Joséphine), dite Fine. Rempailleuse de chaises à Plassans. Épouse d'Antoine Macquart. Mère de Lisa, Gervaise et Jean Macquart : ",femme
Madinier. Patron d'un atelier de cartonnages : ,homme
Marescot. Propriétaire de la maison de la rue de la Goutte-d'Or où demeurent les Coupeau.i : ,homme
Marsoullier. Tenancier de l'hôtel Boncœur : ,homme
Mes-Bottes. Camarade de Coupeau : ,homme
Meyer. Boulangerie viennoise du faubourg Poissonnière : ,indef
"Nana (Anna Coupeau, dite). Fille de Coupeau et de Gervaise Macquart. Demi-sœur de Claude, Étienne et Jacques Lantier. Fille galante : ",femme
PÉQUiGNOT. Ami des Lo-rilleux. Marchand de meubles : ,homme
Pied-de-Céleri. Ami de Coupeau : ,homme
Poisson (Virginie). Ouvrière. Sœur d'Adèle. Épouse le sergent de ville Poisson. Maîtresse d'AuguSte Lantier : ,femme
Poisson. Sergent de ville. Épouse la grande Virginie : ,homme
Putois (Mme). Ouvrière blanchisseuse: ,femme
Remanjou (Mlle). Voisine des Lorilleux : ,femme
Sophie. Ouvrière fleuriste : ,femme
Thérèse. Ancienne voisine des Lorilleux : ,femme
Thomas. Restaurant de Montmartre: ,homme
Titreville (Mme). Fleuriste: ,femme
Vigouroux (Mme). Épouse du précédent : ,femme
Vigouroux. Charbonnier : ,homme
Zidore. Apprenti zingueur. Aide de Coupeau : ,homme
