Personnage,Type
Robert Walton,Science
Margaret Walton,indef
Oncle Thomas,indef
Cousin de Walton,indef
Ancien Capitaine de Walton,indef
Copine du second,indef
Epoux de la copine,indef
Pere de la copine,indef
Second,Technique
Equipage du bateau de Walton,Technique
Navigateurs d'avant,Technique
Victor Frankenstein,Science
Alphonse Frankenstein,Politique
Caroline Beaufort/Frankenstein,indef
Beaufort,indef
Henry Clerval,Art
Pere de Henry Clerval,Politique
Elizabeth Larenza,indef
Parents d'Elizabeth,indef
Famille de fermiers (chaumiere),indef
Ernest,Technique
William,indef
Corneille Aggrippa,Science
Paracelse,Science
Albert Magnus,Science
Isaac Newton,Science
M. Krempe,Science
M. Waldman,Science
Domestique de Frankeinstein,indef
Justine,Politique
Pere de Justine,indef
Mere de Justine,indef
Enfant Moritz,indef
Juges (tribunal de Justine),Politique
Public tribunal,Politique
Confesseur,Politique
Louisa Biron,indef
Seconde copine de William,indef
Mlle Mansfield,indef
John Melbourne,indef
Manon Mansfield,indef
M.Duvillard,indef
Louis Manoir,indef
Mme Tavernier,indef
Le Monstre,Technique
La compagne du Monstre,Technique
Berger/Vieil Homme,indef
Agathe,Technique
Felix,Technique
De Lancey,Politique
Safie,Technique
Guide de Safie,indef
Pere de de Safie,Politique
Vieux domestique du pere de Safie,indef
Mere de Safie,Politique
Werther,Politique
Plutarque,Politique
Numa,Politique
Solon,Politique
Lycurge,Politique
Thesee,Politique
Romulus,Politique
Proprietaire du chalet,indef
Fillette,indef
Paysan : pere fillette,indef
Societe londonienne,Science
L'ecossais,Science
Charles Ier ,Politique
Hampden,Politique
Societe du Cumberland,indef
Societe ecossaise,Science
Habitants de l'ile (Ecosse),Politique
Irlandais (temoins),Politique
M. Kirwin,Politique
Infirmiere prison Irlande,Technique
Frankenstein Mere (Caroline),indef
Gens de l'auberge (Lac Leman),indef
Magistrat de Geneve,Politique
Dieu,Religion
Satan,Religion
Adam,Religion
