Personnage,Type
Robert Walton,Vivant
Margaret Walton,Non renseigné
Oncle Thomas,Non renseigné
Cousin de Walton,Non renseigné
Ancien Capitaine de Walton,Non renseigné
Copine du second,Non renseigné
Epoux de la copine,Non renseigné
Pere de la copine,Non renseigné
Second,Vivant
Equipage du bateau de Walton,Vivant
Navigateurs d'avant,Vivant
Victor Frankenstein,"Mort (fatigue, maladie)"
Alphonse Frankenstein,"Mort (fatigue, maladie)"
Caroline Beaufort/Frankenstein,"Mort (fatigue, maladie)"
Beaufort,"Mort (fatigue, maladie)"
Henry Clerval,Mort (assassiné)
Pere de Henry Clerval,Non renseigné
Elizabeth Larenza,Mort (assassiné)
Parents d'Elizabeth,"Mort (fatigue, maladie)"
Famille de fermiers (chaumiere),Non renseigné
Ernest,Vivant
William,Mort (assassiné)
Corneille Aggrippa,Non renseigné
Paracelse,Non renseigné
Albert Magnus,Non renseigné
Isaac Newton,Non renseigné
M. Krempe,Non renseigné
M. Waldman,Non renseigné
Domestique de Frankeinstein,Non renseigné
Justine,Mort (assassiné)
Pere de Justine,"Mort (fatigue, maladie)"
Mere de Justine,"Mort (fatigue, maladie)"
Enfant Moritz,Non renseigné
Juges (tribunal de Justine),Non renseigné
Public tribunal,Non renseigné
Confesseur,Non renseigné
Louisa Biron,Non renseigné
Seconde copine de William,Non renseigné
Mlle Mansfield,Non renseigné
John Melbourne,Non renseigné
Manon Mansfield,Non renseigné
M.Duvillard,Non renseigné
Louis Manoir,Non renseigné
Mme Tavernier,Non renseigné
Le Monstre,Vivant
La compagne du Monstre,Mort (assassiné)
Berger/Vieil Homme,Non renseigné
Agathe,Vivant
Felix,Vivant
De Lancey,Vivant
Safie,Vivant
Guide de Safie,Non renseigné
Pere de de Safie,Non renseigné
Vieux domestique du pere de Safie,Non renseigné
Mere de Safie,Non renseigné
Werther,Non renseigné
Plutarque,Non renseigné
Numa,Non renseigné
Solon,Non renseigné
Lycurge,Non renseigné
Thesee,Non renseigné
Romulus,Non renseigné
Proprietaire du chalet,Non renseigné
Fillette,Non renseigné
Paysan : pere fillette,Non renseigné
Societe londonienne,Non renseigné
L'ecossais,Non renseigné
Charles Ier ,Non renseigné
Hampden,Non renseigné
Societe du Cumberland,Non renseigné
Societe ecossaise,Non renseigné
Habitants de l'ile (Ecosse),Non renseigné
Irlandais (temoins),Non renseigné
M. Kirwin,Vivant
Infirmiere prison Irlande,Non renseigné
Frankenstein Mere (Caroline),Non renseigné
Gens de l'auberge (Lac Leman),Non renseigné
Magistrat de Geneve,Non renseigné
Dieu,Non renseigné
Satan,Non renseigné
Adam,Non renseigné
