Personnage,Type
Cyrus Smith,Science
Top,Animal
Gedeon Spilett,Technique
Nab le serviteur,Technique
Pencroff le marin,Technique
Harbert le jeune,Technique
Ulysse Grant,Politique
Guillaume Orange,Politique
Butler,Politique
Jonathan Forster,Technique
Lee,Politique
Gouverner,Politique
Jupiter,Animal
John Benett,Technique
Presence,Science
Ayrton,Technique
Lord Glenarvan,Indéfini
Capitaine Grant,Indéfini
Major anglais,Technique
Geographe francais,Science
Lady Glenarvan,Famille
Mary Grant,Famille
Robert Grant,Famille
John Mangles,Technique
Proprietaire irlandais,Indéfini
Tom Austin,Technique
Bob Harvey,Politique
Pirates,Technique
