Personnage,Type
Cyrus Smith,Demi-dieu
Top,Animal-humanisé
Gedeon Spilett,Homme
Nab le serviteur,Homme
Pencroff le marin,Homme
Harbert le jeune,Homme
Ulysse Grant,Homme
Guillaume Orange,Homme
Butler,Homme
Jonathan Forster,Homme
Lee,Homme
Gouverner,Homme
Jupiter,Animal-humanisé
John Benett,Homme
Presence,Demi-dieu
Ayrton,Homme-bête
Lord Glenarvan,Homme
Capitaine Grant,Homme
Major anglais,Homme
Geographe francais,Homme
Lady Glenarvan,Homme
Mary Grant,Homme
Robert Grant,Homme
John Mangles,Homme
Proprietaire irlandais,Homme
Tom Austin,Homme
Bob Harvey,Homme-bête
Pirates,Homme-bête
