Nom,Type
Prof. Schultze,Politique
Un voyageur,Technique
Octave Sarrasin,Technique
Docteur Sarrasin,Science
Marcel Bruckmann,Technique
Jeanne (Soeur Octave),indefini
Mère Octave,indefini
Mme Sarrasin,indefini
Enfants de Sarrasin,indefini
Colonel Hendon,Technique
M. Lentz,Technique
Membres du conseil,Science
Assemblée populaire,indefini
Arminius,Technique
Sigimer,Technique
Les citoyens France Ville,indefini
Citoyens SF,indefini
Blunderbuss,indefini
Meiklejohn,indefini
Conseil de défense,Politique
Gardes Schultziens,Technique
Mère de la jeune fille,indefini
Père de la jeune fille,indefini
Madame Bauer,indefini
Mineur mort,Technique
Carl (garçon Mme Bauer),Technique
Ingénieur Maulesmulhe,Technique
Monsieur Bauer,Technique
Les mineurs,Technique
Ingénieur Trubner,Technique
Chefs de Marcel,Technique
Le fonctionnaire,Technique
Contremaître Rayer ,Technique
Docteur Echternach,Science
Ouvrier,Technique
Concierge,Technique
Deux hommes en uniforme gris,Technique
Examinateurs,Technique
Directeur general,Technique
Domestique,Technique
Doct. Cigogna,Science
M.Sharp,Technique
Isidor Sarrasin,indefini
Julie Langevol,indefini
La Begum Gokool,indefini
Aristide Leroux,indefini
Lord Glandover,Science
Thérèse Schultz Langevol,indefini
Jean-Jacques Langevol,indefini
Martin Schultze,Technique
Jean Sarrasin,Technique
Le banquier Silbing,Technique
M. Krupp,Technique
Contremaître Seligmann,Technique
Les ouvriers,Technique
Chef d’équipe,Technique
Ingénieur en chef,Technique
