Nom,Type
Prof. Schultze,Cite_Fer
Un voyageur,indefini
Octave Sarrasin,France_ville
Docteur Sarrasin,France_ville
Marcel Bruckmann,France_ville
Jeanne (Soeur Octave),France_ville
Mère Octave,France_ville
Mme Sarrasin,France_ville
Enfants de Sarrasin,France_ville
Colonel Hendon,France_ville
M. Lentz,France_ville
Membres du conseil,France_ville
Assemblée populaire,France_ville
Arminius,Cite_Fer
Sigimer,Cite_Fer
Les citoyens France Ville,France_ville
Citoyens SF,indefini
Blunderbuss,Cite_Fer
Meiklejohn,Cite_Fer
Conseil de défense,France_ville
Gardes Schultziens,Cite_Fer
Mère de la jeune fille,France_ville
Père de la jeune fille,France_ville
Madame Bauer,Cite_Fer
Mineur mort,Cite_Fer
Carl (garçon Mme Bauer),Cite_Fer
Ingénieur Maulesmulhe,Cite_Fer
Monsieur Bauer,Cite_Fer
Les mineurs,Cite_Fer
Ingénieur Trubner,Cite_Fer
Chefs de Marcel,Cite_Fer
Le fonctionnaire,indefini
Contremaître Rayer ,Cite_Fer
Docteur Echternach,Cite_Fer
Ouvrier,Cite_Fer
Concierge,Cite_Fer
Deux hommes en uniforme gris,Cite_Fer
Examinateurs,Cite_Fer
Directeur general,Cite_Fer
Domestique,indefini
Doct. Cigogna,indefini
M.Sharp,indefini
Isidor Sarrasin,France_ville
Julie Langevol,France_ville
La Begum Gokool,indefini
Aristide Leroux,indefini
Lord Glandover,indefini
Thérèse Schultz Langevol,Cite_Fer
Jean-Jacques Langevol,indefini
Martin Schultze,indefini
Jean Sarrasin,indefini
Le banquier Silbing,indefini
M. Krupp,indefini
Contremaître Seligmann,Cite_Fer
Les ouvriers,Cite_Fer
Chef d’équipe,Cite_Fer
Ingénieur en chef,Cite_Fer
