,genre
Utterson.notaire ( Ami de Layon et  Jekyll):,Politique
Richard Enfield.( parent éloigné d’Utterson):,Politique
Dr Henry Jekyll:,Science
Edward Hyde:,Mal
Fillette .( Une des victimes de Hyde):,Victime
Docteur.(Celui qui soigna la fillette):,Science
Parent. ( père et mère de la fillette):,Victime
Sir Danvers Carew.( membre du Parlement):,Politique
Temoin. ( du crime de Danvers),Indéfini
Guest. (clerc de Utterson) :,Politique
Domestique Utterson:,Technique
Commissaire Newcomen. ( Police  ):,Politique
Dr Lanyon .( Ami du Dr Jekyll et de Utterson):,Science
MM. Maw:,Technique
Bradshaw.(valet chez Jekyll):,Technique
Poole.( maître d'hôtel de Jekyll):,Technique
Vielle domestique.(de Jekyll):,Technique
Dr Denman:,Science
Serrurier :,Technique
Menusier:,Technique
