,genre
Utterson.notaire ( Ami de Layon et  Jekyll):,Homme
Richard Enfield.( parent éloigné d’Utterson):,Homme
Dr Henry Jekyll:,Homme
Edward Hyde:,Homme
Fillette .( Une des victimes de Hyde):,Femme
Docteur.(Celui qui soigna la fillette):,Homme
Parent. ( père et mère de la fillette):,Homme
Sir Danvers Carew.( membre du Parlement):,Homme
Temoin. ( du crime de Danvers),Homme
Guest. (clerc de Utterson) :,Homme
Domestique Utterson:,Homme
Commissaire Newcomen. ( Police  ):,Homme
Dr Lanyon .( Ami du Dr Jekyll et de Utterson):,Homme
MM. Maw:,Homme
Bradshaw.(valet chez Jekyll):,Homme
Poole.( maître d'hôtel de Jekyll):,Homme
Vielle domestique.(de Jekyll):,Femme
Dr Denman:,Homme
Serrurier :,Homme
Menusier:,Homme
