,Rôle
Prendick Edward. Scientifique,Science
"Capitaine de la ""Chance Rouge""",Technique
M'ling. Domestique,Technique
Chiens de garde,Technique
Montgomery. Medecin,Politique
Animaux,Technique
Cuisinier,Technique
Puma,Technique
Equipage,Technique
Vice-commandant. Marin,Technique
Docteur Moreau,Science
Personnages chaloupe. 3 hommes-taureaux,Technique
Homme-singe,Religion
Animaux-hommes divers,Technique
L'Ai. petite creature rose,Technique
Hommes-Porcs,Technique
Homme-gorille,Technique
Les Canaques,Technique
Homme-leopard,Technique
Homme au poil argent. Catéchiste de la Loi,Religion
Le satyre,Technique
Femmes-loups,Technique
Femmes-porcs,Technique
Sorciere Ours-Renard,Technique
Trois bipedes,Technique
Homme-Chien,Technique
2 bipedes rampants,Technique
2 brutes tachetees,Technique
Monstre qui attaque le groupe,Technique
3 monstres,Technique
Hyene-porc,Technique
Capitaine du Brick. Equipage 2,Technique
Second du Brick. Equipage 2,Technique
Deux Marins. finalement morts,Technique
