,Genre
Prendick Edward. Scientifique,Humain
"Capitaine de la ""Chance Rouge""",Humain
M'ling. Domestique,Animal-homme
Chiens de garde,Animal
Montgomery. Medecin,Humain
Animaux,Animal
Cuisinier,Humain
Puma,Animal-homme
Equipage,Humain
Vice-commandant. Marin,Humain
Docteur Moreau,Humain
Personnages chaloupe. 3 hommes-taureaux,Animal-homme
Homme-singe,Animal-homme
Animaux-hommes divers,Animal-homme
L'Ai. petite creature rose,Animal-homme
Hommes-Porcs,Animal-homme
Homme-gorille,Animal-homme
Les Canaques,Humain
Homme-leopard,Animal-homme
Homme au poil argent. Catéchiste de la Loi,Animal-homme
Le satyre,Animal-homme
Femmes-loups,Animal-homme
Femmes-porcs,Animal-homme
Sorciere Ours-Renard,Animal-homme
Trois bipedes,Animal-homme
Homme-Chien,Animal-homme
2 bipedes rampants,Animal-homme
2 brutes tachetees,Animal-homme
Monstre qui attaque le groupe,Animal-homme
3 monstres,Animal-homme
Hyene-porc,Animal-homme
Capitaine du Brick. Equipage 2,Humain
Second du Brick. Equipage 2,Humain
Deux Marins. finalement morts,Humain
