Personnages,Oppresseur/Opprimé/Opprimé_consentant
Winston Smith,Opprimé
Parti,Oppresseur
Big Brother,Oppresseur
Patrouille,Oppresseur
Police de la pensée,Oppresseur
Miniver,Oppresseur
Minipax,Oppresseur
Miniamour,Oppresseur
Miniplein,Oppresseur
Télécran,Oppresseur
Julia,Opprimé
O'Brien,Oppresseur
Emmanuel Goldstein,Oppresseur
Mme Parsons,Opprimé_consentant
Tom (mari Parsons),Opprimé_consentant
Enfants Parsons,Oppresseur
Lointain comité,Oppresseur
Ligue de la Jeunesse,Oppresseur
Espions,Oppresseur
(espions) Eurasien,Autre
armée Eurasienne,Autre
Femme 1 commissariat aux Romans,Oppresseur
Femme 2 commissariat aux Romans,Oppresseur
Mère de Winston,Opprimé
Père de Winston,Opprimé
Soeur de Winston,Opprimé
Shakespeare,Autre
Employés de bureau,Oppresseur
Deux vieillards,Autre
Estasia,Autre
Eurasia,Autre
Marins des forteresses volantes,Oppresseur
Oceania,Oppresseur
Tillotson,Oppresseur
Ampleforth,Opprimé_consentant
Cerveau coordinateur,Oppresseur
PornoSex,Oppresseur
C.C.F.F,Opprimé
Wither,Oppresseur
Ogilvy,Opprimé_consentant
Ligue Anti-sexe,Oppresseur
Charlemagne,Autre
Jules César,Autre
Syme,Opprimé_consentant
Homme à la voix forte,Oppresseur
Vieille prostituée ,Autre
Catherine,Oppresseur
Prolétaire,Opprimé_consentant
capitaliste,Autre
Jones,Autre
Aaronson,Autre
Rutherford,Autre
Deux femmes monstrueuses,Opprimé_consentant
Hommes habit noir accordéon,Opprimé_consentant
Homme au bar 1,Opprimé_consentant
Homme au bar 2,Opprimé_consentant
Homme au bar 3,Opprimé_consentant
Vieillard bistrot,Opprimé_consentant
Barmen,Opprimé_consentant
groupe de consommateurs,Opprimé_consentant
Charrington,Oppresseur
Commissariat aux romans,Oppresseur
Comité du Plan,Oppresseur
Fraternité,Oppresseur
Mouvement de la Jeunesse,Oppresseur
Femme chantant,Opprimé_consentant
Commissariat de la Musique,Oppresseur
Grand-père Julia,Opprimé
Commissariat aux Archives,Oppresseur
Comité des Échecs,Oppresseur
Domestique O'Brien,Oppresseur
Trois autres filles,Oppresseur
Wilsher,Oppresseur
Un petit homme,Oppresseur
Olivier Cromwell,Autre
Prisonniers politiques,Opprimé
Un prolétaire énorme,Opprimé_consentant
Une femme énorme,Opprimé_consentant
Un homme  au visage recouvert,Opprimé
Prisonniers ordinaires,Opprimé_consentant
Prisonniers du Parti,Opprimé
Gardes,Oppresseur
Une femme énorme de 60 ans,Opprimé_consentant
Femme membre du Parti 1,Opprimé
Femme membre du Parti 2,Opprimé
Le jeune officier de la Prison,Oppresseur
Dieu,Autre
Kipling,Autre
Une femme Salle 101,Opprimé
Bumstaed,Opprimé
Un homme squelettique,Opprimé
Hommes à la blouse blanche,Oppresseur
Coiffeur hargneux,Oppresseur
Questionneurs du Parti,Oppresseur
L'Esprit de l'Homme,Autre
Les rats,Autre
Les garçons du café,Opprimé_consentant
