,Type
Mrs. K : Ylla,Féminin
Mr. K : Yll,Masculin
Nathaniel York,Masculin
Bert,Masculin
Huile,Masculin
Uel : ami,Masculin
Pao : amie de Ylla,Féminin
Docteur Nlle,Masculin
Mrs. Ttt,Féminin
Capitaine Williams,Masculin
Compagnons,Masculin
Mr Ttt,Masculin
Mr Aaa,Masculin
Mr Iii,Masculin
Petite fille,Féminin
Equipier de York,Masculin
Mr Xxx Psychiatre,Masculin
Mr Uuu,Masculin
Miss Rrr,Féminin
Mr Www,Masculin
Mr Qqq,Masculin
Mr Vvv,Masculin
Saturnien,Masculin
Mr Zzz,Masculin
Mr Nnn,Masculin
Mr Hhh,Masculin
Mr Bbb,Masculin
Homme Flamme Bleue,Masculin
Femme ,Féminin
