,Type
Mrs. K : Ylla,Féminin
Mr. K : Yll,Masculin
Nathaniel York,Masculin
Bert,Masculin
Huile,Masculin
Uel : ami,Masculin
Pao : amie de Ylla,Féminin
Docteur Nlle,Masculin
Mrs. Ttt,Féminin
Capitaine Williams,Masculin
Compagnons,Masculin
Mr Ttt,Masculin
Mr Aaa,Masculin
Mr Iii,Masculin
Petite fille,Féminin
Mr Xxx Psychiatre,Masculin
Mr Uuu,Masculin
Miss Rrr,Féminin
Mr Www,Masculin
Mr Qqq,Masculin
Mr Vvv,Masculin
Saturnien,Masculin
Mr Zzz,Masculin
Mr Nnn,Masculin
Mr Hhh,Masculin
Mr Bbb,Masculin
Homme Flamme Bleue,Masculin
Femme ,Féminin
"Black, capitaine",Masculin
Equipage,Masculin
Foule du lancement,Masculin
Mort du voyage,Masculin
"Lustig, navigateur",Masculin
"Hinkston, archéologue",Masculin
Le chimiste,Masculin
Compositeur martien,Masculin
Dieu,Masculin
"Wilder, capitaine",Masculin
"Al Jolson, chanteur",Masculin
"Maxfield Parrish, peintre",Masculin
Une martienne,Féminin
Einstein,Masculin
Les pélerins,Masculin
Grand-mère Lustig,Féminin
Grand-père Lustig,Masculin
Jeunes filles,Féminin
Petits garçons,Masculin
Gros messieurs,Masculin
Maire,Masculin
Edward,Masculin
Mère de Black,Féminin
Père de Black,Masculin
Marylin,Féminin
Les martiens,Masculin
