,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Mrs. Ttt,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capitaine Williams,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Compagnons,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Mr Ttt,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mr Aaa,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mr Iii,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0
Petite fille,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
York,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipier,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mr Xxx Psychiatre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
Mr Uuu,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Miss Rrr,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Mr Www,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Mr Qqq,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Mr Vvv,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Saturnien,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Mr Zzz,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Mr Nnn,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Mr Hhh,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Mr Bbb,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Homme Flamme Bleue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Femme ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
