Personnages,STP
"Black, capitaine",Politique
Equipage,Technique
Foule du lancement,Indefini
Mort du voyage,Technique
"Lustig, navigateur",Technique
"Hinkston, archéologue",Science
Le chimiste,Science
Compositeur martien,Art
"Williams, capitaine",Politique
York,Politique
Le compagnon de York,Technique
Dieu,Religion
"Wilder, capitaine",Politique
"Al Jolson, chanteur",Art
"Maxfield Parrish, peintre",Art
Une martienne,Art
Einstein,Science
Les pélerins,Religion
Grand-mère Lustig,Indefini
Grand-père Lustig,Indefini
Jeunes filles,Indefini
Petits garçons,Indefini
Gros messieurs,Indefini
Maire,Politique
Edward,Indefini
Mère de Black,Indefini
Père de Black,Indefini
Marylin,Indefini
Les martiens,Indefini
