,Genre
Hari Seldon,Science
Bel Riose (Le general),Politique
Ducem Barr (Le vieux de Siwenna) (savant),Science
Onum Barr (Le pere de Ducem Barr),Technique
Vice roi siwenna,Politique
L empereur (Cleon II),Politique
Hober Mallow,Technique
Sennet Forell (le fils de Hober Mallow),Politique
Salvor Hardin,Politique
Brodrig (fidele de l empereur),Politique
Lathan Devers (marchand),Technique
Mori Luk (sergent),Technique
Ingenieur Orre,Technique
Le Mulet,Politique
Bayta,Technique
Toran,Technique
Fran(pere de Toran,Technique
Randu (Oncle de Toran),Politique
Han Pritcher (capitaine),Technique
Indbur III (maire),Politique
Magnifico (Clown du Mulet),Politique
Porfirat Hart,Technique
Vice roi Kalgan,Politique
Ebling Mis,Science
Secrétaire de Indbur 3,Technique
Pilote d oasis,Technique
Jeune Radolienne,Technique
L indigene(Radolien Kiev),Technique
Individu reunion radole,Technique
Iwo Lyon,Technique
Mangin,Technique
Ovall Gri,Technique
Fonctionnaire de Indbur,Technique
Juddie,Technique
Hella,Technique
Nouvelle de l usine (Oasis),Technique
Chef de bureau,Technique
Ombre palais du maire,Technique
Orrum Palley(Le renard),Politique
Levvaw,Politique
Willig,Politique
Garre,Politique
Noth,Politique
Chambellan de Indbur,Technique
General Sammin,Politique
Presentateur,Technique
Capitaine Inspecteur (Vaisseau Filien),Technique
Chef mecanicien (Vaisseau Filien),Technique
Enseigne (Vaisseau Filien),Technique
Dagobert IX,Politique
Fils de Dagobert IX,Politique
Jord Commason,Politique
Inchey,Technique
Rebelle Gilmer,Politique
Lee Senter,Technique
