Personnages,Attributs
Guy Montag,Technique
Mildred,Indefini
Clarisse McClellan,Politique
Oncle de Clarisse,Politique
Pere de Clarisse,Politique
Mere de Clarisse,Politique
Grand-pere de l'oncle de Clarisse,Indefini
Psychanalyste de Clarisse,Science
Camarades de Clarisse,Indefini
Mere de Montag,Indefini
Pere de Montag,Technique
Grand-pere de Montag,Technique
Capitaine Beatty,Politique
Stoneman,Technique
Black,Technique
Pompiers,Technique
Pompier de Seattle,Technique
Limier robot,Technique
Vieille femme brulee,Politique
Type à la bibliotheque cramee,Politique
Policiers,Politique
Gens,Indefini
Famille virtuelle de Mildred,Indefini
Tele-prof,Science
Presentateur tele,Indefini
Personnages de tele,Indefini
Programmateurs,Technique
Operateur,Technique
Technicien,Technique
Docteur,Science
Medecin,Science
Enfants,Indefini
Gouvernement,Politique
Benjamin Franklin,Politique
Dieu,Religion
Maitre Ridley,Art
Millay,Art
Whiteman,Art
Faulkner,Art
Dante,Art
Swift,Art
Marc Aurele,Art
Latimer,Art
Shakespear,Art
Helen,Indefini
Un conducteur,Indefini
Teinturier,Technique
Mme Blake,Indefini
Hommes invisibles,Technique
Clown Blanc,Indefini
Faber,Politique
Cousin de Montag,Indefini
Chef du train,Technique
Cesar,Politique
Professeurs,Science
Ecrivains,Art
Historiens,Science
Linguistes,Science
Acteurs,Art
Mr Je t'Embrouille,Indefini
Imprimeur,Technique
Savant,Science
Cassius,Art
Granger,Politique
Fred Clement,Science
Docteur Simmons,Science
Professeur West ,Science
Reverend Padover,Religion
Clara Phelps,Indefini
Mme Bowles,Indefini
Pete,Indefini
Finnegan,Indefini
Mari de Gloria,Indefini
President Winston Noble,Politique
Hubert Hoag,Politique
Job,Art
Ruth,Art
Sir Philip Sidney,Art
Alexander Pope,Art
Johnson,Art
Paul Valery,Art
