,
Le Mulet,Politique
Han Pritcher,Technique
Bail Channis,Politique
Vis roi de Kalgran,Politique
Ebling Mis,Science
Hari Seldon / Plan,Science
Premier orateur,Science
5 Orateur,Science
le psychologue,Science
Huxlani,Technique
gouverneur Rossem,Politique
Narovi,Technique
Yunker,Technique
Mere Yunker,Technique
Les anciens,Politique
Arcadia Darell,Technique
Olynthus Sale,Technique
mère Arkadia/femme Darell,Technique
Toran Darell,Science
Salvor Hardin,Politique
Hobert Mallow,Politique
Bel Riose,Politique
Bayta Darell,Technique
Mlle Herking,Technique
PelleasAnthor,Science
Poli,Technique
Premier orateur bis / Etudiant,Science
Jole Turbor,Technique
Dr. Elvett Semic,Science
Homir Munn,Technique
Kleise,Science
Stettin / Premier Citoyen,Politique
Devers,Technique
Lev Meirus / Premier ministre,Politique
Dame Callia,Science
Thallos,Politique
Maire Fondation,Politique
Le Père / Preem Palver,Science
La Mère,Science
Lieutenant Orum Dirig,Technique
vieux Cosker,Technique
Fennel Leemor,Technique
Aspirant Tipellum,Technique
Capitaine Dixyl,Technique
Capitaine Cenn,Technique
Amiral,Technique
