,
Le Mulet,Autre
Han Pritcher,Premiere
Bail Channis,Seconde
Vis roi de Kalgran,Autre
Ebling Mis,Premiere
Hari Seldon / Plan,Premiere
Premier orateur,Seconde
5 Orateur,Seconde
le psychologue,Seconde
Huxlani,Autre
gouverneur Rossem,Seconde
Narovi,Autre
Yunker,Autre
Mere Yunker,Autre
Les anciens,Seconde
Arcadia Darell,Premiere
Olynthus Sale,Premiere
mère Arkadia/femme Darell,Premiere
Toran Darell,Premiere
Salvor Hardin,Premiere
Hobert Mallow,Premiere
Bel Riose,Autre
Bayta Darell,Premiere
Mlle Herking,Premiere
PelleasAnthor,Seconde
Poli,Premiere
Premier orateur bis / Etudiant,Seconde
Jole Turbor,Premiere
Dr. Elvett Semic,Premiere
Homir Munn,Premiere
Kleise,Premiere
Stettin / Premier Citoyen,Autre
Devers,Premiere
Lev Meirus / Premier ministre,Autre
Dame Callia,Seconde
Thallos,Autre
Maire Fondation,Premiere
Le Père / Preem Palver,Seconde
La Mère,Seconde
Lieutenant Orum Dirig,Premiere
vieux Cosker,Premiere
Fennel Leemor,Premiere
Aspirant Tipellum,Premiere
Capitaine Dixyl,Premiere
Capitaine Cenn,Premiere
Amiral,Premiere
