,Type
Marins NANKAI,Technique
Steve Martin,Technique
Dr Serizawa,Science
Shiguyu Iyoto,Technique
Policier,Technique
Cmdt Iwanaga,Politique
Les familles des disparus,Indéfini
Employes NANKAI,Technique
Président NANKAI,Politique
Rescapés,Technique
Sauveteurs marins,Indéfini
Journalistes,Technique
Georges Lawrence,Technique
Emiko,Indéfini
Ogata,Science
Prof. YAMANE,Science
Gouvernement,Politique
Population de Toko,Indéfini
Tchinkitchi,Indéfini
Mazaji,Technique
Godzilla,Indéfini
Prètre de Toko,Religion
Maire de Toko,Politique
Témoins de Toko,Indéfini
Eleves du prof. YAMANE,Science
La marine,Technique
Journaliste Hagiwara,Technique
cmdt Yamata,Technique
L'armee,Technique
Les ingenieurs,Science
Les medecins,Science
Population de Tokyo,Indéfini
Folklore religieux,Religion
