,Type
Serfs,Technique
Cavalerie,Technique
Frere Parvus,Science
Armee Wersgorix,Technique
Sir Roger de Tourneville,Politique
Soldat au lance-roquette,Technique
Lanciers,Technique
Les bons Saints,Religieux
Dieu,Religieux
Sir Brian Fitz-William,Politique
Huruga,Politique
Blindes Wersgorix,Technique
Archers,Technique
Femmes aux fusils,Technique
John Visage Bleu,Indefini
Harry l'Anglais,Indefini
Arbaletriers ,Technique
Capitaine Thomas Bullard,Technique
Archeveque,Politique
Sir Owain Montbelle,Politique
Pere Simon,Politique
Contrebandiers,Technique
John Hamewar le roux,Technique
Lady Catherine,Politique
Branithar,Science
Sentinelles,Technique
Enfants de Sir Roger,Indefini
Le Christ,Religieux
Richard Coeur de Lion,Politique
Prisonniers Wersgorix,Technique
Gens de Roger,Technique
Officier Wersgor,Technique
Saint Michel,Religieux
Vaisseau ennemi,Technique
Vaisseaux anglais,Technique
Enfants anglais,Technique
Wersgors rebelles,Technique
Ingenieur Wersgor,Technique
Oberon,Religieux
Empereur Wersgor,Politique
Pere de Roger de Tourneville,Politique
Jeune peintre,Technique
Euclide,Science
Peuple wersgorix,Technique
Peuple Jairs,Technique
Capitaine des chasses,Technique
Saint Georges,Religieux
Amiral Beljad sor Van,Politique
Adam,Religieux
Edouard II,Politique
Noe,Religieux
Marco Polo,Politique
Gouvernement Jair,Politique
Peuple Ashenkoghli,Technique
Peuple Pretans,Technique
Ethelbert,Politique
Maemonide,Politique
Ambassadeur Ashenkoghli,Politique
Jeune Ashenkogh,Technique
Inspecteur Jair,Politique
Satan,Religieux
La flotte Bodavant,Technique
Servantes de lady Catherine,Technique
Hob le vieux porcher,Technique
Apollon,Religieux
Venus,Religieux
Hugh Thorne,Technique
Marie,Religieux
Princesse Vashtunari,Politique
Hubert le Borgne,Politique
Capitaine Halevy,Technique
Le sociotechnicien,Science
les dames,Technique
Seigneur,Religieux
Saint Patron,Religieux
Wat Brown,Politique
Les Hommes,Technique
Le chroniqueur,Politique
Roi Edouard III,Politique
Armee,Technique
Fils Sir Roger,Indefini
Soldats,Technique
Femme,Technique
Homme,Technique
Français,Politique
Vieillard,Technique
Merlin,Religieux
Demons,Religieux
Anglais,Politique
Abbe,Religieux
Noblesse,Politique
Serviteurs,Technique
Chiens,Indefini
Vicomte de Mornay,Politique
Capitaines,Technique
Notre-Dame,Religieux
Bourreau,Technique
Eveque,Religieux
Eglise,Religieux
Frere Thomas,Politique
Saint Osbert,Religieux
Saint Willibald,Religieux
Grecs,Science
Fille de taverne ,Technique
homme libre,Technique
Epouse homme libre,Technique
Enfants,Indefini
Arbaletrier,Technique
jeune garcon,Technique
Chevalier,Technique
Belle dame,Indefini
Pretre,Religieux
Aristote,Politique
Saint Benoit,Religieux
Chapelains,Religieux
Marie - Mere de Dieu,Religieux
Femmes,Technique
Sergent,Technique
Cavalier,Technique
Sir Alfred Edgarson,Politique
Eclaireurs Wersgosix,Technique
Roi Guillaume le Conquerant,Politique
Petit fils batard du Roi Guillaume le Conquerant,Politique
fille illegitime du comte Godeffroy,Politique
Un archer,Technique
Heraut Wersgosix,Politique
Saint Dismas,Religieux
Nevil le Pourfendeur,Religieux
Pere d'Hubert le Borgne,Technique
Chefs Wersgor,Politique
Neron,Politique
Roi Jean,Politique
Saint Pierre,Religieux
Mahomet,Religieux
Medecin Wersgorix,Technique
Pilote Wersgorix,Technique
Navigateur Wersgorix,Technique
Gouverneur Wersgor,Politique
Saint Cosme,Religieux
Ecuyer du Baron,Technique
Duc planetaire,Politique
Archeveque de la Nouvelle Canterbury,Religieux
