,Science / Technique / Politique / Religion / Enfance
Stuart McConchie,Technique
Jim Fergesson,Technique
M.Crody (bijoutier),Technique
Dr.Stockstill,Science
Mlle Purcell (secrétaire du Dr),Technique
Bruno Bluthgeld / Jack Tree (physicien),Science
Connie (serveuse chez Fred),Technique
Bonny Keller,Science
George Keller (surintendant école),Politique
Richard Nixon (dir. FBI),Politique
Hoppy Harrington,Technique
Jack Ligtheiser,
Les dépanneurs,Technique
Walter Dangerfield,Science
Lydia Dangerfield,Science
Tony (cuisinier chez Fred),Technique
M.Auturias (instituteur),Science
Orion Stroud (prop routes),Politique
June Raub,Politique
Edie Keller,Enfance
Bill Keller,Enfance
Andrew Gill (commerçant),Technique
eux/ils (les gens de bruno),
Ken,
Bob Rubenstein,
Cas Stone,Technique
Dean Hardy,Technique
Dieu,Religion
Earl Davig,Politique
Edouard Prince de Galles,Technique
Eldon Blaine,Science
Ella Hardy,Technique
Employés de Gill,Technique
Fred Quinn,Science
Hal Barnes,Science
Mlle Costigane,
Mme Lully,
Mme Tallman,Politique
Paul Dietz,
Père de Hoppy,
Rose Quinn,
Terry (chien),
Wilma Stone,
Pete Seeger,
Pasteur,Religion
Président Johnson,Politique
La chouette,
Larry Raub,
Gwen eldon,
Militaire,
Georg Schilper (dépanneur Genève),Technique
Commandant port new york,
M. Spaulding,
Patricia Eldon,
Paysan missile,
Vétéran radeau,
"Mme wallace, bolinas",
Henry Purcell,
Johann Pachelbel,
Leroy,
Tom Frandi,
