,Normal / Paranormal / Folie
Stuart McConchie,Normal
Jim Fergesson,Normal
M.Crody (bijoutier),Normal
Dr.Stockstill,Normal
Mlle Purcell (secrétaire du Dr),Normal
Bruno Bluthgeld / Jack Tree (physicien),Folie
Connie (serveuse chez Fred),Normal
Bonny Keller,Normal
George Keller (surintendant école),Normal
Richard Nixon (dir. FBI),Normal
Hoppy Harrington,Paranormal
Jack Ligtheiser,Normal
Les dépanneurs,Normal
Walter Dangerfield,Normal
Lydia Dangerfield,Normal
Tony (cuisinier chez Fred),Normal
M.Auturias (instituteur),Normal
Orion Stroud (prop routes),Normal
June Raub,Normal
Edie Keller,Paranormal
Bill Keller,Paranormal
Andrew Gill (commerçant),Normal
eux/ils (les gens de bruno),Normal
Ken,Normal
Bob Rubenstein,Normal
Cas Stone,Normal
Dean Hardy,Normal
Dieu,Normal
Earl Davig,Normal
Edouard Prince de Galles,Normal
Eldon Blaine,Normal
Ella Hardy,Normal
Employés de Gill,Normal
Fred Quinn,Normal
Hal Barnes,Normal
Mlle Costigane,Normal
Mme Lully,Normal
Mme Tallman,Normal
Paul Dietz,Normal
Père de Hoppy,Normal
Rose Quinn,Normal
Terry (chien),Paranormal
Wilma Stone,Normal
Pete Seeger,Normal
Pasteur,Normal
Président Johnson,Normal
La chouette,Normal
Larry Raub,Normal
Gwen eldon,Normal
Militaire,Normal
Georg Schilper (dépanneur Genève),Normal
Commandant port new york,Normal
M. Spaulding,Normal
Patricia Eldon,Normal
Paysan missile,Normal
Vétéran radeau,Normal
"Mme wallace, bolinas",Normal
Henry Purcell,Normal
Johann Pachelbel,Normal
Leroy,Normal
Tom Frandi,Normal
