perso, Science Technique Politique
Rick Deckard,technique
John R. Isidore,religion
Harry Bryant,politique
Iran,religion
Dave Holden,technique
Polokov/Sandor Kadalyi,technique
Luba Luft,art
Hannibal Sloat,technique
Milt Borogrove,technique
Rachael Rosen,politique
L'Ami Buster,politique
Wilbur Mercer,religion
Phil Resch,technique
George Gleason,technique
Inspecteur Garland,politique
Agent Crams,technique
Mme Pilsen,NA
Ed Pilsen,NA
Horace (le vrai chat des Pilsen),NA
Standardiste SEB,NA
Mr Ackers SEB,NA
Mozart,art
Buffy l'ecureuil,NA
Pris Stratton/clone de Rachael,technique
Roy Baty,politique
Imgard Baty,technique
Hasking,NA
Horst Hartman,NA
Anders,NA
Gitchel,NA
jeune employe bouti animaux,NA
directeur commercial bouti animaux,NA
chevre boutique animaux,NA
bill barbour (voisin),NA
Amanda wermer,politique
Eldon Rosen,politique
Les emmigrants/colons,NA
Les speciaux,NA
Mme Klugman,politique
Les tetes de piaf,NA
Les Merceristes,religion
Fondation Rosen,politique
Lurie Kampff,science
