perso, Pif/Paf
Rick Deckard,Humain
John R. Isidore,Special
Harry Bryant,Humain
Iran,Humain
Dave Holden,Humain
Polokov/Sandor Kadalyi,Androide
Luba Luft,Androide
Hannibal Sloat,Humain
Milt Borogrove,Humain
Rachael Rosen,Androide
L'Ami Buster,Androide
Wilbur Mercer,Divinite
Phil Resch,Androide
George Gleason,Androide
Inspecteur Garland,Androide
Agent Crams,Androide
Mme Pilsen,Humain
Ed Pilsen,Humain
Horace (le vrai chat des Pilsen),Animal
Standardiste SEB,Humain
Mr Ackers SEB,Humain
Mozart,Humain
Buffy l'ecureuil,Animal
Pris Stratton/clone de Rachael,Androide
Roy Baty,Androide
Imgard Baty,Androide
Hasking,Androide
Horst Hartman,Androide
Anders,Androide
Gitchel,Androide
jeune employe bouti animaux,Humain
directeur commercial bouti animaux,Humain
chevre boutique animaux,Animal
bill barbour (voisin),Humain
Amanda wermer,Androide
Eldon Rosen,Humain
Les emmigrants/colons,Humain
Les speciaux,Special
Mme Klugman,Humain
Les tetes de piaf,Special
Les Merceristes,Humain
Fondation Rosen,Humain
Lurie Kampff,Humain
