,Type
Alex Delarge,Technique
Mr Deltoid,Science
Dim,Technique
Georgie,Technique
Pete,Technique
vendeur magasin disques,Indéterminé
Victime du gang de Billyboy,Indéterminé
Catlady,Technique
Alexander frank (ecrivain),Science
Mrs Alexander epouse violentee,Science
le clochard,Technique
Mere d'Alex,Technique
Pere d'Alex,Technique
Inspecteur Tom (1),Technique
Inspecteur de police (2),Technique
Inspecteur de police (3),Technique
Sergent (bureau),Technique
Gardien acceuil prison,Technique
"Gardien chef prison, Barnes",Technique
Gardien inventaire,Technique
Pretre prison,Religion
directeur prison,Politique
docteur Alcot,Science
Gardien institut medical,Technique
Docteur Branom,Science
Docteur Brodsky,Science
Acteur Voyou,Technique
Sophisto (bar),Indéterminé
Policier (télephone),Technique
billyboy chef de gang,Technique
Droogies de billy (4),Technique
Sonietta,Indéterminé
Marty,Indéterminé
videur du milkbar,Technique
videur du milkbar2,Technique
vieille dame au duke of york,Indéterminé
Joe (locataire de la chambre d'Alex),Indéterminé
bande de clochards,Technique
Julien (aide de Mr Frank),Technique
Amis de Mr Frank (2),Politique
Infirmières,Science
Docteur,Science
Psychiatre,Science
Ministre de l’intérieur,Politique
Sir Leslie,Politique
Journalistes / Photographes,Technique
Public applaudissant,Indéterminé
Fille nue sur Alex,Indéterminé
