,Age
"Alex Delarge",Jeune
"Mr Deltoid",Adulte
"Dim",Jeune
"Georgie",Jeune
"Pete",Jeune
"vendeur magasin disques",Adulte
"Victime du gang de Billyboy",Jeune
"Catlady",Adulte
"Alexander frank (ecrivain)",Vieux
"Mrs Alexander epouse violentee",Adulte
"le clochard",Vieux
"Mere d'Alex",Adulte
"Pere d'Alex",Adulte
"Inspecteur Tom (1)",Adulte
"Inspecteur de police (2)",Adulte
"Inspecteur de police (3)",Adulte
"Sergent (bureau)",Adulte
"Gardien acceuil prison",Adulte
"Gardien chef prison, Barnes",Adulte
"Gardien inventaire",Adulte
"Pretre prison",Adulte
"directeur prison",Adulte
"docteur Alcot",Adulte
"Gardien institut medical",Adulte
"Docteur Branom",Adulte
"Docteur Brodsky",Adulte
"Acteur Voyou",Adulte
"Sophisto (bar)",Adulte
"Policier (téléphone)",Indef
"billyboy chef de gang",Jeune
"Droogies de billy (4)",Jeune
"Sonietta",Jeune
"Marty",Jeune
"videur du milkbar",Adulte
"videur du milkbar2",Adulte
"vieille dame au duke of york",Vieux
"Joe (locataire de la chambre d'Alex)",Jeune
"bande de clochards",Vieux
"Julien (aide de Mr Frank)",Jeune
"Amis de Mr Frank (2)",Adulte
"Infirmière(s)",Adulte
"Docteur",Adulte
"Psychiatre",Adulte
"Ministre de l'intérieur",Vieux
"Sir Leslie",Adulte
"Journalistes / Photographes",Adulte
"Public applaudissant (scène finale)",Adulte
"Fille nue sur Alex (scène finale)",Jeune
