,STP
Dr Valentin Pilman - Prix Nobel,Science
Redrick Shouhart (Red - Rouquin),Technique
Kirill Panov – Docteur Panov - ami de Redrick,Science
Tender - collègue de Redrick,Science
Richard Nounane (Dick),Technique
Gouta - femme de Redrick,Non défini
Rauque (Hew),Technique
Phil le Décharné,Technique
Ouistiti – Fille de Redrick et Gouta,Non défini
Charognard (Barbridge),Technique
Cirage,Technique
Iskhak Sac d'Os,Technique
Ernest,Technique
Aloïs Makno,Politique
Arthur Barbridge,Technique
Lemkhen - patron de Nounane,Technique
Stephan Norman - le Binoclard,Technique
Austin,Technique
Capitaine Willy Hertzog,Politique
Mollusque,Technique
Freluquet,Technique
Caniche,Technique
Dina Barbridge,Non défini
Capitaine QuaterBlood,Politique
Le Boucher (James Cutterfield),Science
Satan (Diable),Religieux
Dieu,Religieux
Loir (Dickson),Politique
Creon Le Maltais,Technique
La secrétaire de nounane,Technique
Baylis,Technique
Jeune Homme basané secrétaire de Lemkhen,Technique
Carter le veinard,Technique
Cactus (Jonathan Miles),Technique
Ben le gros nez (Ben Galevi le Nasillard),Technique
Nain Tsmyg,Technique
Le vieux Benny,Technique
Madame (Bar Métropole),Technique
Katioucha Gros Os (gérant du métropole – Raphaël),Technique
Rajba,Technique
Zapfa le Poussin,Technique
Newton,Science
Vonnegut,Ecrivain
Rosalia (femme d'Ernest – gérante du Bortch),Technique
Frankenstein,Non défini
Madame Shelley,Ecrivain
Laborantin de Boyd,Technique
Professeur Boyd,Science
Femme du docteur Pillman,Non défini
Pere de Red le rouquin,Non défini
Le Vieux Harris,Non défini
