,
Soldats,Militaire
Le Docteur,Science
Time Lord,Science
Daleks,Technique
Sarah,Technique
Harry,Technique
Soldat mort,Militaire
Observateur,
Soldats morts,Militaire
Homme derrière porte,Militaire
Soldats Thal,Militaire
Soldats Kaled,Militaire
les Thals,Politique
General Ravon,Militaire
Mutos,Politique
Sevrin (Muto),Technique
Les Kaleds,Politique
Nyder,Politique
Gardes Kaled 1,Militaire
Patrouille de surface,Militaire
Davros,Science
Unité spéciale Kaled,Militaire
Gharman (scientifique Kaled),Science
Tane,Technique
Ronson (scientifique Kaled),Science
Patrouille Thal,Militaire
Elite Scientifiques Kaled,Science
Gardes Thal,Militaire
Prisonnier Kaled,Militaire
Gouvernement Kaled,Politique
Animaux mutés,Technique
Mogran (dirigeant Kaled),Politique
Allié de Davros,Politique
Gouvernement Thal,Politique
Bettan (soldat Thal),Militaire
Kavell (scientifique Kaled),Science
Rebelles Thal,Politique
Elite Militaire Kaled,Militaire
Gardes Kaled 2,Militaire
Soldat Thal,Militaire
Groupe de rebelles Kaled,Militaire
Fideles a Davros,Politique
