Personnage,Type
Andrew Ender Wiggin,Technique
Colonel Graff,Science
Valentine,Politique
Peter,Politique
Doryphores,Technique
Les Bleus,Technique
Bernard,Technique
Stilson,Autre
Bean,Technique
Anderson,Science
Locke,Politique
Demosthene,Politique
Sergent Dap,Technique
General Pace,Politique
Les reines,Politique
Potes de stilson,Autre
Shen,Technique
Mazer Rackham,Science
Alai,Technique
Le Géant,Technique
Mère,Autre
Père,Autre
Voix 1,Science
Voix 2,Science
Responsable du moniteur,Science
Le docteur,Science
L'infirmière,Technique
Mlle pumphrey,Science
Camarade,Technique
Mick,Technique
Adversaire jeu vidéo,Technique
Membres Salamandre,Technique
Bonzo,Technique
Petra,Technique
Carn Caby,Technique
Dink,Technique
Ami de Dink,Technique
Armée Du Lapin,Technique
Armée Du Rat,Technique
Armée de l'Ecureuil,Technique
Armée du Condor,Technique
Armée du Léopard,Technique
Pol Slattery,Technique
Ray le Nez,Technique
Armée du Mille-pattes,Technique
"Grand ""non bleu"" ennemi",Technique
Armé du Phénix,Technique
Armée du Dragon,Technique
