Personnage,Genre
Andrew Ender Wiggin,Enfant
Colonel Graff,Adulte
Valentine,Enfant
Peter,Enfant
Doryphores,Non-Humain
Les Bleus,Enfant
Bernard,Enfant
Stilson,Enfant
Bean,Enfant
Anderson,Adulte
Locke,Adulte
Demosthene,Adulte
Sergent Dap,Adulte
General Pace,Adulte
Les reines,Non-Humain
Potes de stilson,Enfant
Shen,Enfant
Mazer Rackham,Adulte
Alai,Enfant
Le Géant,Non-Humain
Mère,Adulte
Père,Adulte
Voix 1,Adulte
Voix 2,Adulte
Responsable du moniteur,Adulte
Le docteur,Adulte
L'infirmière,Adulte
Mlle pumphrey,Adulte
Camarade,Enfant
Mick,Enfant
Adversaire jeu vidéo,Enfant
Membres Salamandre,Enfant
Bonzo,Enfant
Petra,Enfant
Carn Caby,Enfant
Dink,Enfant
Ami de Dink,Enfant
Armée Du Lapin,Enfant
Armée Du Rat,Enfant
Armée de l'Ecureuil,Enfant
Armée du Condor,Enfant
Armée du Léopard,Enfant
Pol Slattery,Enfant
Ray le Nez,Enfant
Armée du Mille-pattes,Enfant
"Grand ""non bleu"" ennemi",Enfant
Armé du Phénix,Enfant
Armée du Dragon,Enfant
