,Type
Paul Atreides,Politique
Duc Leto Atreides,Politique
Jessica Atreides,Religion
Baron Harkonnen,Politique
Empereur Shaddam 4,Politique
Thufir Hawat,Science
Doc Yueh,Science
Gurney,Technique
Creature Guilde Spatiale,Politique
Guilde Spatiale,Technique
Chani,Technique
Gaius Helen,Religion
Piter De Vries,Science
Nefud,Technique
Feyd Rautha,Religion
Rabban,Politique
Doc Baron Harkonnen,Science
Duncan,Technique
Doc Kynes,Science
Irulan,Indéfini
Cour de l'empereur,Indéfini
Oracle Fremen,Religion
Soldats Atreides,Technique
Soldats Harkonnen,Technique
Soldats Empire,Technique
Soldats Fremen,Technique
Kwisatz Haderach,Religion
Vers,Indéfini
Mineurs,Technique
Shadout Mapes,Religion
Alia,Technique
Stilgar,Politique
Feydakins,Technique
