,Type
Paul Atreides,Atreides
Duc Leto Atreides,Atreides
Jessica Atreides,Bene Gesserit
Baron Harkonnen,Harkonnen
Empereur Shaddam 4,Empire
Thufir Hawat,Atreides
Doc Yueh,Harkonnen
Gurney,Atreides
Creature Guilde Spatiale,Guilde
Guilde Spatiale,Guilde
Chani,Fremen
Gaius Helen,Bene Gesserit
Piter De Vries,Harkonnen
Nefud,Harkonnen
Feyd Rautha,Harkonnen
Rabban,Harkonnen
Doc Baron Harkonnen,Harkonnen
Duncan,Atreides
Doc Kynes,Fremen
Irulan,Empire
Cour de l'empereur,Empire
Oracle Fremen,Fremen
Soldats Atreides,Atreides
Soldats Harkonnen,Harkonnen
Soldats Empire,Empire
Soldats Fremen,Fremen
Kwisatz Haderach,Fremen
Vers,Fremen
Mineurs,Atreides
Shadout Mapes,Fremen
Alia,Bene Gesserit
Stilgar,Fremen
Feydakins,Fremen
