,type
Case,Technique
Ratz,Politique
Gage,Politique
Lonny Zone,Politique
Linda Lee,Politique
McCoy Pauley/Dixie le Trait-plat,Science
Julius Deane,Politique
Molly,Technique
Armitage,Politique
Le Finnois,Science/Technique
Muetdhiver,Science
Corto,Technique
Peter Riviera,Technique
Maelcum,Technique
Kuang Expert T11,Science
3Jane T-A,Politique
Marie-France Tessier,Technique/Politique
Hideo,Technique
Ashpool,Politique
Neuromancien,Science
Equipe de Corto,Technique
Le délégué du Congrès,Politique
Menton,Technique
Mercedes,Science
Dieu / Seigneur,Autre
Le petit ninja,Technique
Moderne de Berne,Technique
Cath,Technique
Bruce,Technique
Yakuzas,Technique
filles de Lonny Zone,Technique
Mona,Technique
Melana,Technique
Ivan McLean,Politique
shin,Technique
Mignons de Gage,Technique
Matsuga,Politique
kurt,Politique
Johnny,Technique
vieux ninja,Technique
premier moine,Technique
T-A,Autre
gosse a clef,Autre
reine Espagne,Politique
Général Girling,Politique
Type en survet orange,Technique
Jah,Autre
8Jean,Politique
petit japonais (jsp),Autre
groupe ouvrier,Technique
Autre Type en survet orange,Technique
Tony,Technique
Bobby Quine,Science/Technique
Larry,Technique
Smith,Politique
Jimmy,Technique
Terzibachjian / arménien,Technique/Politique
Ag. Turing,Autre
Aérol,Technique
Fondateur de Sion,Politique
Marlène,Technique
