,type
Case,mi-Humain/mi-programmé
Ratz,humains
Gage,humains
Lonny Zone,humains
Linda Lee,mi-Humain/mi-programmé
McCoy Pauley/Dixie le Trait-plat,mi-Humain/mi-programmé
Julius Deane,humains
Molly,humains
Armitage,programmés
Le Finnois,humains
Muetdhiver,programmés
Corto,humains
Peter Riviera,humains
Maelcum,humains
Kuang Expert T11,programmés
3Jane T-A,humains
Marie-France Tessier,humains
Hideo,humains
Ashpool,humains
Neuromancien,programmés
Equipe de Corto,humains
Le délégué du Congrès,humains
Menton,humains
Mercedes,programmés
Dieu / Seigneur,autre
Le petit ninja,humains
Moderne de Berne,humains
Cath,humains
Bruce,humains
Yakuzas,humains
filles de Lonny Zone,humains
Mona,humains
Melana,humains
Ivan McLean,humains
shin,humains
Mignons de Gage,humains
Matsuga,humains
kurt,humains
Johnny,humains
vieux ninja,humains
premier moine,humains
T-A,autre
gosse a clef,humains
reine Espagne,humains
Général Girling,humains
Type en survet orange,humains
Jah,autre
8Jean,humains
petit japonais (jsp),humains
groupe ouvrier,humains
Autre Type en survet orange,humains
Tony,humains
Bobby Quine,mi-Humain/mi-programmé
Larry,humains
Smith,humains
Jimmy,humains
Terzibachjian / arménien,humains
Ag. Turing,mi-Humain/mi-programmé
Aérol,humains
Fondateur de Sion,humains
Marlène,humains
