,type
Alita,politique
Daisuke Ido,science
Gonzu,technique
Robot Factory 33,politique
Izuchi,autre
Makaku,guerrier
Pops ?  (père de koyomi),autre
Koyomi,politique
Zapan,guerrier
Desty Nova,science
Hugo,autre
Vector,politique
Shumira,autre
Jashugan,politique
Edsoc (Ed),technique
Umba (mécano),technique
Ajakutty,politique
Armblessed,politique
Zafal Takie,politique
Tiegel,politique
Master,politique
Sara (femme de zapan),autre
Murdock (père de Sara),guerrier
Eelai,technique
Robot Factory 10,politique
Chef BIGOTT,politique
Den,politique
Figure Four,guerrier
Yolg,autre
Knucklehead,guerrier
Boiling Metal Boss,guerrier
Dr Russell,science
Lou Collins,technique
Radio Kaos,technique
GR2,guerrier
GR10,guerrier
Melchizedek,politique
