,genre
Alita,cyborg
Daisuke Ido,zalem
Gonzu,cyborg
Robot Factory 33,robot
Izuchi,robot
Makaku,experience
Pops ?  (père de koyomi),humain
Koyomi,humain
Zapan,experience
Desty Nova,zalem
Hugo,humain
Vector,humain
Shumira,humain
Jashugan,experience
Edsoc (Ed),humain
Umba (mécano),cyborg
Ajakutty,cyborg
Armblessed,cyborg
Zafal Takie,cyborg
Tiegel,cyborg
Master,humain
Sara (femme de zapan),humain
Murdock (père de Sara),humain
Eelai,experience
Robot Factory 10,robot
Chef BIGOTT,zalem
Den,robot
Figure Four,humain
Yolg,humain
Knucklehead,cyborg
Boiling Metal Boss,cyborg
Dr Russell,zalem
Lou Collins,zalem
Radio Kaos,humain
GR2,cyborg
GR10,cyborg
Melchizedek,intelligence aritficiel
