,
Lothar,Technique
Tonto,Technique
Aghora (Méta-baron),Technique
Sans-Nom (Méta-baron),Technique
Animah,Religion
Solune,Religion
Othon von Salza (Méta-baron),Technique
Edna de Castaka,Technique
Bérard de Castaka (Baron),Technique
Bari von Salza,Technique
Suprême Techno-pape,Politique
Délégation Technopontificale,Politique
Equipage vaisseau Techno-Techno,Technique
Konrath,Technique
Hohenhole,Technique
Gangez (Dieu),Religion
Endogarde Noir,Technique
La Caste des méta-baron,Technique
Shazam,N/A
Iku-TTA,Technique
Wulthor,Technique
Ulkran,Technique
Tokkar,Technique
Bargoth,Technique
Nan nan,N/A
Ohuaya,N/A
Forces armée Tecnopontificale,Technique
Armada Assassins himans,Technique
Ekonomat,Politique
Pirates,Technique
Armée / soldats Troglosocialiks,Technique
Cuirrasses impérial,Technique
Robfliks,Technique
Zacouda florex,N/A
Police Centrale,Technique
ZF mutante,N/A
Cerveau central,Politique
Empire/confédération galactique,Politique
Janus-Jana Imperoratriz,Politique
Endogarde Pourpre,Technique
Confédération coloniale,Politique
Humains,N/A
Honorata,Politique
Sorcières Shabda-Oud,Politique
Aghnar (Méta-baron),Technique
Zaran Krleza,Science
Tête d'acier (Méta-baron),Technique
Doña Vincenta Gabriela de Rokha,Politique
Don Nicanor Rosamel de Rokha,Politique
Oda,Technique
Dayal de Castaka (Baron),Politique
Antigréa de castaka (duchesse),Technique
Myrtha Castaka,Technique
Narda Castaka,Technique
Couple impérial (siège d'or),Politique
Général Zothto,Politique
Diophante Reine Macropoux,Politique
Corps jumeau d'Aghora,Technique
Les 3 As (chasseurs),Technique
Macropoux,N/A
courtisants/politiciens de siège d'or,Politique
Technopontificat/Guilde Techno-techno,Technique/Politique
Maganat,Politique
Confédération Troglosocialik,Politique
Armée / soldats Troglosocialik,Technique
Peuple Troglosocialik,N/A
Kiawoutai (Grand Singe),Technique
Singes de Planete Perdue,Technique
Peuple d'Okhar (indigène),N/A
Peuples de la galaxie,N/A
Jejoh (Dieu Sabda-Oud),Religion
Ounser (Dieu Foetus),Religion
Lucioh (gardient de porte domentionel),Technique
Tribus barbar d'Ulkmar,N/A
Général Thato,Technique
Patriarche chef tribus (Grand Singe),Politique
Peuple Hiréas,N/A
Peuple Zerkos,N/A
Aristocrates cybergs,N/A
Oulrij le rouge (pirate),Technique
Schizophrènes cannibale,N/A
Habitants de Morga-la-belle,N/A
Octoël poulpe romantique,Science
Mentreks (conseillers de l'empire),Science
Prétendants d'Oda,Politique
Service d'ordre publique d'Amahdis,Technique
Père d'Oda,Politique
Ambassadeurs Pthagure,Politique
Race Pthagure,N/A
Condamnés à morts,Technique
Navire phtagures,Technique
Navire humains,Technique
Cerbomak,Technique
Triumvirat Phtagure,Politique
Vampires,N/A
Amabassadeur planetaire,Politique
Tarentulouve/Deyanira,Technique
algholkar de rieidar,Technique
krgtpah semi-lezard,Technique
fresthyuiz traitre veneneux,Technique
Zombra,Technique
Envahisseurs extradimentionnel,N/A
