,
Lothar,Méta-baronnique
Tonto,Méta-baronnique
Aghora (Méta-baron),Méta-baronnique
Sans-Nom (Méta-baron),Méta-baronnique
Animah,Personnage
Solune,Personnage
Othon von Salza (Méta-baron),Méta-baronnique
Edna de Castaka,Personnage
Bérard de Castaka (Baron),Personnage
Bari von Salza,Personnage
Suprême Techno-pape,Personnage
Délégation Technopontificale,Personnage
Equipage vaisseau Techno-Techno,Personnage
Konrath,Personnage
Hohenhole,Personnage
Gangez (Dieu),Méta-baronnique
Endogarde Noir,Personnage
La Caste des méta-baron,Faction
Shazam,Méta-baronnique
Iku-TTA,Méta-baronnique
Wulthor,Personnage
Ulkran,Personnage
Tokkar,Personnage
Bargoth,Personnage
Nan nan,Personnage
Ohuaya,Personnage
Forces armée Tecnopontificale,Faction
Armada Assassins himans,Faction
Ekonomat,Faction
Pirates,Faction
Armée / soldats Troglosocialiks,Faction
Cuirrasses impérial,Faction
Robfliks,Faction
Zacouda florex,Personnage
Police Centrale,Faction
ZF mutante,Personnage
Cerveau central,Personnage
Empire/confédération galactique,Faction
Janus-Jana Imperoratriz,Personnage
Endogarde Pourpre,Faction
Confédération coloniale,Faction
Humains,Faction
Honorata,Méta-baronnique
Sorcières Shabda-Oud,Faction
Aghnar (Méta-baron),Méta-baronnique
Zaran Krleza,Méta-baronnique
Tête d'acier (Méta-baron),Méta-baronnique
Doña Vincenta Gabriela de Rokha,Méta-baronnique
Don Nicanor Rosamel de Rokha,Personnage
Oda,Méta-baronnique
Dayal de Castaka (Baron),Méta-baronnique
Antigréa de castaka (duchesse),Méta-baronnique
Myrtha Castaka,Méta-baronnique
Narda Castaka,Méta-baronnique
Couple impérial (siège d'or),Personnage
Général Zothto,Personnage
Diophante Reine Macropoux,Personnage
Corps jumeau d'Aghora,Méta-baronnique
Les 3 As (chasseurs),Personnage
Macropoux,Faction
courtisants/politiciens de siège d'or,Faction
Technopontificat/Guilde Techno-techno,Faction
Maganat,Faction
Confédération Troglosocialik,Faction
Armée / soldats Troglosocialik,Faction
Peuple Troglosocialik,Faction
Kiawoutai (Grand Singe),Personnage
Singes de Planete Perdue,Faction
Peuple d'Okhar (indigène),Faction
Peuples de la galaxie,Faction
Jejoh (Dieu Sabda-Oud),Personnage
Ounser (Dieu Foetus),Personnage
Lucioh (gardient de porte domentionel),Personnage
Tribus barbar d'Ulkmar,Faction
Général Thato,Personnage
Patriarche chef tribus (Grand Singe),Personnage
Peuple Hiréas,Faction
Peuple Zerkos,Faction
Aristocrates cybergs,Faction
Oulrij le rouge (pirate),Faction
Schizophrènes cannibale,Faction
Habitants de Morga-la-belle,Faction
Octoël poulpe romantique,Personnage
Mentreks (conseillers de l'empire),Faction
Prétendants d'Oda,Faction
Service d'ordre publique d'Amahdis,Faction
Père d'Oda,Personnage
Ambassadeurs Pthagure,Personnage
Race Pthagure,Faction
Condamnés à morts,Faction
Navire phtagures,Faction
Navire humains,Faction
Cerbomak,Personnage
Triumvirat Phtagure,Personnage
Vampires,Faction
Amabassadeur planetaire,Faction
Tarentulouve/Deyanira,Personnage
algholkar de rieidar,Personnage
krgtpah semi-lezard,Personnage
fresthyuiz traitre veneneux,Personnage
Zombra,Personnage
Envahisseurs extradimentionnel,Faction
