,Type
Paul Durham,Science
Copie actuelle de Durham,Technique
Autres copies de Durham,Indef 
Père de Durham,Indef 
Technicien,Technique
Elizabeth,Indef 
Cycliste,Indef 
La population,Indef 
Copie de la population,Indef 
Maria Deluca,Science
Équipe d'ouvriers,Technique
Aden,Science
Francesca,Religion
Les scientifiques,Science
Max Lambert,Science
Bienfaiteur involontaire,Indef 
Edward Lorentz,Science
Conseil des ministres,Politique
Copie de Riemann,Politique
Le gouvernement,Politique
Jonh Vines,Science
Martin Sandover,Politique
Calvin (science),Science
Copie de Peer,Politique
Copie de Kate,Indef 
Copie de Sanderson,Politique
Copie de Repetto,Politique
Malcom Carter,Technique
Daniel lebesgue,Indef 
Père de Maria Deluca,Indef 
Lewis Carroll,Science
George Orwell,Science
Dieu,Religion
Hans lohr,Technique
Anna,Indef 
Hiedrich,Technique
Ian Summers,Science
Joe,Indef 
Angela,Indef 
David Hawthorne,Indef 
Inspecteur Hayden,Technique
Larry Lacunaire,Indef 
Le fils Leroy,Politique
Ilse,Indef 
Martin (ami de Anna),Indef 
Père de Thomas Riemann,Politique
Erik (enfant avec Anna),Indef 
Anima de Maria,Science
Le vieillard,Indef 
Anima du vieillard,Indef 
Elysiens,Politique
Lambertiens,Religion
Alisa Zemansky,Indef 
Porte-Parole,Politique
Anima de Anna,Politique
Anima de Repetto,Politique
Anima de Kate,Indef 
Anima de Peer,Technique
Anima de Riemann,Politique
Anima de la population,Politique
Anima de Durham,Science
