personnage/min,types
Jerome(Eugene),Technique
directeur Josef,Politique
le comite,Politique
docteur Lamar,Science
parents du docteur Lamar,Indéfini
Fils du docteur Lamar,Indéfini
Irene Cassini,Science
Voix Off,Indéfini
La mere,Indéfini
geneticien,Technique
Dieu,Religion
Infirmiere,Indéfini
Le pere,Indéfini
Vincent(Jerome),Technique
Maitresse de maternelle,Science
Anton(frere parfait),Politique
les astronautes,Science
Les nettoyeurs,Technique
Le chef des nettoyeurs,Politique
les employes de gattacca,Science
Medecin prive,Technique
les inspecteur du FBI,Technique
Detective Hugo,Technique
directeur de mission assassiné,Politique
Cavendich,Politique
Médecins quelconques,Science
Pianiste,Technique
Civils (invalides),Indéfini
Agents de controle,Technique
Figurants au bal,Indéfini
Musiciens,Indéfini
Vigile,Technique
