Personnage,
Jerome(Eugene),Opposant
directeur Josef,Partisan
le comite,Partisan
docteur Lamar,Opposant
parents du docteur Lamar,Indéfini
Fils du docteur Lamar,Opposant
Irene Cassini,Opposant
Voix Off,indefini
La mere,Partisan
geneticien,Partisan
Dieu,Indéfini
Infirmiere,Partisan
Le pere,Partisan
Vincent(Jerome),Opposant
Maitresse de maternelle,Partisan
Anton(frere parfait),Opposant
les astronautes,Partisan
Les nettoyeurs,Indéfini
Le chef des nettoyeurs,Partisan
les employes de gattacca,Partisan
Medecin prive,Opposant
les inspecteur du FBI,Partisan
Detective Hugo,Partisan
directeur de mission assassiné,Partisan
Cavendich,Indéfini
Médecins quelconques,Partisan
Pianiste,Indéfini
Civils (invalides),Opposant
Agents de controle,Partisan
Figurants au bal,Indéfini
Musiciens,Indéfini
Vigile,Partisan
