Character,Attribut
Cloud,Avalanche
Barret,Avalanche
Jessie,Avalanche
Biggs,Avalanche
Tifa,Avalanche
Cid,Avalanche
Vincent,Avalanche
Yuffie,Avalanche
Shera,INDEF
Tseng,Shinra
Aerith,Cetra
Johnny,INDEF
Don Corneo,INDEF
Wedge,Avalanche
Elmyra,INDEF
Bugenhagen,Avalanche
Lucrecia,Shinra
Hart,INDEF
Domino,INDEF
Reeve,Shinra
Palmer,Shinra
President Shinra,Shinra
Rufus,Shinra
Heidegger,Shinra
Scarlet,Shinra
Hojo,Shinra
Red XIII,Avalanche
Dio,INDEF
Cait Sith,INDEF
Sephiroth,Anti Terre
Jenova,INDEF
Gast,Shinra
Rude,Avalanche
Marlene,Avalanche
Elena,Shinra
Rude,Shinra
Dyne,INDEF
Chocobo,INDEF
