Character,Attribut
Cloud,Technique
Barret,Technique
Jessie,Technique
Biggs,Technique
Tifa,Technique
Cid,Technique
Vincent,INDEF
Yuffie,Technique
Shera,Science
Tseng,Technique
Aerith,Religion
Johnny,INDEF
Don Corneo,Politique
Wedge,Technique
Elmyra,INDEF
Bugenhagen,Science
Lucrecia,Science
Hart,Politique
Domino,Politique
Reeve,Politique
Palmer,Politique
Rufus,Politique
President Shinra,Politique
Heidegger,Politique
Scarlet,Politique
Hojo,Science
Red XIII,Technique
Dio,INDEF
Cait Sith,Politique
Sephiroth,Religion
Jenova,INDEF
Gast,Science
Rude,Technique
Marlene,INDEF
Elena,Technique
Rude,Technique
Dyne,Technique
Chocobo,Technique
