,Type
Godzilla,Animal
Dr. Nick Tatopoulos ,Homme
Philippe Roaché/Larochelle,Homme
Audrey Timmonds,Femme
Victor « Animal » Palotti,Homme
Colonel Hicks,Homme
Maire Ebert,Homme
Charles Caiman,Homme
Sergent O’Neal,Homme
Lucy Palotti,Femme
Dr. Elsie Chapman,Femme
Dr. Mendel Craven,Homme
Gene l’assistant du maire,Homme
Gouverneur de la ville de New York,Homme
Général Anderson,Homme
Amiral Phelps,Homme
Lieutenant Anderson,Homme
Capitaine du sous-marin Anchorage,Homme
Ed l'ingénieur de WIDF News,Homme
Jean-Luc,Homme
Jean-Claude,Homme
Jean-Pierre,Homme
Jean-Philippe,Homme
la secrétaire de Caiman,Femme
la pharmacienne,Femme
Joe le vieux pêcheur,Homme
SDF 1,Homme
SDF 2,Homme
Rescapé japonais,Homme
Kyle Terrington,Homme
Bebezillas,Animal
Pêcheurs Japonais,Homme
Pêcheurs américains,Homme
Dinosaures,Animal
Jamaicains,Mix
Soldats américains,Homme
Médecins tahitiens,Homme
Gardes tahitiens,Homme
Panaméens,Mix
Lombric de Tchernobyl ,Animal
Gouvernement français,Mix
New-Yorkais,Mix
Co-présentatrive TV,Femme
Policiers jamaicains,Homme
Policiers NY,Homme
Ministre de la défense,Homme
Sponsor,Mix
Pillards,Homme
Elvis ‘King’ Presley,Homme
