,
Personnages,"Type (Science, Technique, Politique, Art, Religion, indef)"
Philip Fry,Technique
Patron de Philip Fry,indef
Michelle(petite amie de P.Fry),indef
Nouveau petit ami de Michelle,indef
Client pizzeria,indef
Voleur(du vélo de P.Fry),indef
Population de la terre,indef
Population d'une planete du futur,indef
Leela,Technique
Professeur Farnsworth,Science
Bender,Technique
Patron de Leela,Politique
Police,Technique
Leonard Nimoy,Art
Dick Clark,Politique
Richard Nixon,Politique
Hermes,Politique
Dr Zoidberg,Science
Amy,Technique
Habitants de la lune,indef
Police de la lune,Technique
Fermier sur la lune,Technique
Filles du fermier,Technique
Docteur Mobutu,Science
Doug,indef
Homme en anneau,indef
Fille du XXIè siècle,indef
Bolt Rolands,indef
Nettoyeur du bar,Technique
Capitaine Zapp Brannigan,Politique
Kif Kroker,Technique
Les homme de Capitaine Zapp,Technique
Les gardes de Capitaine Zapp,Technique
Nibbler (animal de Vergon 6),Technique
Les Spectateurs,indef
Les Joueurs,indef
Les robots de gardes,Technique
Le robot Wendy,Technique
Le robot Rostil,Technique
Les humains,Politique
Les Groupe de Robots ,Technique
Les robots anciens,Politique
Robots a ressort (voisins de Fry),indef
Professeur de Fry (à l'université),Science
Camarades de classe de Fry,indef
Vendeuse de parfums,Technique
Vendeur de caleçons Lightspeed,Technique
Mom,Politique
Banquiere,Technique
Robot cendrier,Technique
Masseurs du Spa,Technique
Scruffy (concierge de Planet Express),Technique
Vendeur d'oeuvre d'art,Technique
Robot Pizzaiolo,Technique
Vendeur d'appartement à l'amiante,Technique
Commissaire-priseur,Technique
Personnes venues à la vente aux enchères,indef
Enfants de Mom,Technique
Tete de Pamela Anderson,Art
Robot déménageur,Technique
Elzar,Technique
Accro au crack,indef
Vendeur d'organe,Technique
Epicier neptunien,Technique
"""Infirmière"" du vendeur d'organe",Technique
Bont (empereur de la planète Trisol),Politique
Garde de l'empereur de Trisol,Technique
Servants de l'empereur de Trisol,Technique
Merg (le grand prêtre de Trisol),Politique
Gorgak (ancien premier ministre de Trisol),Politique
Livreur de Trisol,Technique
Humoriste de Trisol,Art
Les différents empereurs de Trisol,Politique
Peuple de Trisol,indef
Inventeurs de l'académie,Science
Professeur Wernstrom,Science
Tete de Ron Popeil,Science
Maire de New New York,Politique
Morbo et Linda (Animateurs télés),Politique
Militaire,Technique
Foule du concert ,indef
Tetes des beastie boys,Art
Porteurs des Tetes,Technique
Aliens à lanternes ,indef
Robot Fender,Technique
Robots drogués,Technique
Sepent psychédélique,indef
Prêtre,Religion
Sainte disquette 3.0,Religion
L'univers,indef
Assemblée de robotologiens,Religion
Diable robot (Belzebot),Religion
Serveur,Technique
Le prophète Jérémy Mathique,Religion
Les Passants,indef
Robot-Prostituée,Technique
Danseuses Robot,Technique
Trump Trapezoid,Politique
Robots torturés,Religion
Dieu,Religion
Diablotins Robots musiciens,Religion
Armée de robots de l'enfer,Religion
Foule du titanic,indef
Tete de leo Dicaprio,Art
Femme robot Bender,indef
Travailleurs de charbon,Technique
Joueurs du casino,indef
Père Amy,Politique
Mère Amy,Politique
Barman Titanic,Technique
Étudiants de l'université de Mars,indef
Robots de la fraternité ERR,Technique
Guichetier de la fête foraine ,Technique
Humains de la fraternité Snooty house,Politique
Singe intelligent (Gunther),Science
Prof d'histoire du 20ème siècle,Science
Doyen Vernon,Politique
Christine,indef
Parents singes (Gunther),indef
Technicien de FOX-TV (1999),Technique
Jenny McNeal (et autres acteurs du show eponyme),Art
Lrrr (Empereur Omicron persei 8),Politique
Ndnd (Femme de Lrrr),Politique
Plagistes,indef
Professional beach bully,Technique
Armée Alien d'Omicron Persei 8,Technique
Président de la terre Bill Mc Neal,Politique
Scénat politique terrien,Politique
Gardes de Lrrr,Technique
Armée terrienne ,Technique
Ex futur équipage planet express,Technique
Famille de Lrrr,Politique
Calculon,Art
"Acteurs du show ""All my circuits""",Art
Slurm Mc Kenzie,indef
Bimbos de la pub Slurm,indef
Employés de la fabrique slurm,Technique
Gardes de la fabrique de slurm,Technique
Glurmo,Technique
Les Grunka Lunkas,Technique
Reine Slurm,Politique
Président du bureau des boissons sucrées,Politique
