,
Personnages,Espèce
Philip Fry,Humain
Patron de Philip Fry,Humain
Michelle(petite amie de P.Fry),Humain
Nouveau petit ami de Michelle,Humain
Client pizzeria,Humain
Voleur(du vélo de P.Fry),Humain
Population de la terre,Autre
Population d'une planete du futur,Autre
Leela,Alien
Professeur Farnsworth,Humain
Bender,Robot
Patron de Leela,Humain
Police,Autre
Leonard Nimoy,Tete
Dick Clark,Tete
Richard Nixon,Tete
Hermes,Humain
Dr Zoidberg,Alien
Amy,Humain
Habitants de la lune,Autre
Police de la lune,Humain
Fermier sur la lune,Humain
Filles du fermier,Robot
Docteur Mobutu,Humain
Doug,Alien
Homme en anneau,Humain
Fille du XXIè siècle,Humain
Bolt Rolands,Alien
Nettoyeur du bar,Humain
Capitaine Zapp Brannigan,Humain
Kif Kroker,Alien
Les homme de Capitaine Zapp,Autre
Les gardes de Capitaine Zapp,Autre
Nibbler (animal de Vergon 6),Alien
Les Spectateurs,Autre
Les Joueurs,Autre
Les robots de gardes,Robot
Le robot Wendy,Robot
Le robot Rostil,Robot
Les humains,Humain
Les Groupe de Robots ,Robot
Les robots anciens,Robot
Robots a ressort (voisins de Fry),Robot
Professeur de Fry (à l'université),Humain
Camarades de classe de Fry,Humain
Vendeuse de parfums,Humain
Vendeur de caleçons Lightspeed,Humain
Mom,Humain
Banquiere,Humain
Robot cendrier,Robot
Masseurs du Spa,Humain
Scruffy (concierge de Planet Express),Humain
Vendeur d'oeuvre d'art,Humain
Robot Pizzaiolo,Robot
Vendeur d'appartement à l'amiante,Humain
Commissaire-priseur,Humain
Personnes venues à la vente aux enchères,Autre
Enfants de Mom,Humain
Tete de Pamela Anderson,Tete
Robot déménageur,Robot
Elzar,Alien
Accro au crack,Humain
Vendeur d'organe,Humain
Epicier neptunien,Alien
"""Infirmière"" du vendeur d'organe",Humain
Bont (empereur de la planète Trisol),Alien
Garde de l'empereur de Trisol,Alien
Servants de l'empereur de Trisol,Alien
Merg (le grand prêtre de Trisol),Alien
Gorgak (ancien premier ministre de Trisol),Alien
Livreur de Trisol,Alien
Humoriste de Trisol,Alien
Les différents empereurs de Trisol,Alien
Peuple de Trisol,Alien
Inventeurs de l'académie,Humain
Professeur Wernstrom,Humain
Tete de Ron Popeil,Tete
Maire de New New York,Humain
Morbo et Linda (Animateurs télés),Autre
Militaire,Humain
Foule du concert ,Autre
Tetes des beastie boys,Tete
Porteurs des Tetes,Humain
Aliens à lanternes ,Alien
Robot Fender,Robot
Robots drogués,Robot
Sepent psychédélique,Autre
Prêtre,Robot
Sainte disquette 3.0,Autre
L'univers,Autre
Assemblée de robotologiens,Robot
Diable robot (Belzebot),Robot
Serveur,Humain
Le prophète Jérémy Mathique,Robot
Les Passants,Autre
Robot-Prostituée,Robot
Danseuses Robot,Robot
Trump Trapezoid,Autre
Robots torturés,Robot
Dieu,Autre
Diablotins Robots musiciens,Robot
Armée de robots de l'enfer,Robot
Foule du titanic,Autre
Tete de leo Dicaprio,Tete
Femme robot Bender,Robot
Travailleurs de charbon,Humain
Joueurs du casino,Autre
Père Amy,Humain
Mère Amy,Humain
Barman Titanic,Humain
Étudiants de l'université de Mars,Autre
Robots de la fraternité ERR,Robot
Guichetier de la fête foraine ,Humain
Humains de la fraternité Snooty house,Humain
Singe intelligent (Gunther),Autre
Prof d'histoire du 20ème siècle,Humain
Doyen Vernon,Humain
Christine,Humain
Parents singes (Gunther),Autre
Technicien de FOX-TV (1999),Humain
Jenny McNeal (et autres acteurs du show eponyme),Humain
Lrrr (Empereur Omicron persei 8),Alien
Ndnd (Femme de Lrrr),Alien
Plagistes,Autre
Professional beach bully,Humain
Armée Alien d'Omicron Persei 8,Alien
Président de la terre Bill Mc Neal,Humain
Scénat politique terrien,Humain
Gardes de Lrrr,Alien
Armée terrienne ,Humain
Ex futur équipage planet express,Autre
Famille de Lrrr,Alien
Calculon,Robot
"Acteurs du show ""All my circuits""",Robot
Slurm Mc Kenzie,Alien
Bimbos de la pub Slurm,Humain
Employés de la fabrique slurm,Alien
Gardes de la fabrique de slurm,Alien
Glurmo,Alien
Les Grunka Lunkas,Alien
Reine Slurm,Alien
Président du bureau des boissons sucrées,Humain
