Personnage,Type
Locke/Demosthene,Politique
Peter Wiggin,Politique
Ender,Technique
Bean,Technique/Politique
Petra Arkanian,Technique
Carlotta,Religion
Achille,Politique
Colonel Graff,Politique
Polemarque,Politique
Djish d'Ender,Technique
Enfants des ecoles de guerres,Technique
Pere de Petra,Indefini
Mere de Petra,Indefini
Frere de Petra,Indefini
petit Frere de Petra,Indefini
Dink Meeker,Technique
Ami commun de chamrajnagar et locke,Indefini
Presse,Politique
Armee Armenienne,Technique
Major Anderson,Technique
Mazer Rackhlam,Technique
Infirmiere de la Flotte,Science
Voisins de Petra,Indefini
Cousins de Petra,Indefini
Collegues de Travail du pere de Petra,Indefini
Filles populaires de l'ecole de guerre,Technique
Professeur,Technique
Amis de Petra a l'ecole,Indefini
Conseille d'orientation,Indefini
Valentine Wiggin,Politique
Nicolai Delphiki,Technique
Auteur de l'enlevement,Politique
Gouvernement armenien,Politique
Forces de polemarque,Technique
Julian Delpikini,Indefini
Elena Delphiki,Indefini
Colonel Dekanos,Technique
General Thrakos,Politique
9 autres enfants kidnappes,Technique
Voisin de bean en vacances,Indefini
homme parmis les kidnappeurs,Indefini
Femme parmis les kidnappeurs,Indefini
Pied-Lourd,Indefini
Femme medecin,Science
Gardiens de Petra,Indefini
Hot Soup,Technique
Shen,Technique
Mazen Rackham,Technique
Alai,Technique
Poke,Politique
Gardiens de Bean,Indefini
Molo la mouche,Technique
Dumper,Technique
vlad,Technique
doryphores,Indefini
Soldat,Technique
etudiants de la bibliotheque,Indefini
Alexandre le Grand,Politique
napoleon,Politique
jhon kennedy,Politique
Winston Churchill,Politique
Tom le Dingue,Technique
Carn Carby,Indefini
konstan,Indefini
lettie,Indefini
Patient de l'hopital,Indefini
redacteur en chef de Peter,Politique
Ami de Peter du Vatican,Politique
Custer,Technique
Ravisseurs,Indefini
Psychiatre russe,Science
Soldats russes,Technique
Chauffeur,Technique
Secretaire universite,Technique
Staline,Politique
Hitler,Politique
Hegemon,Politique
Stilson,Indefini
Mere Wiggin,Indefini
Pere Wiggin,Indefini
Hector Victorieux,Politique
Helene,Politique
Briseis,Politique
Achille mythologie,Politique
Guenievre,Indefini
Roxane,Technique
Barsine,Technique
Josephine,Indefini
Mordred,Indefini
Wellington,Indefini
Cassandre,Indefini
Virlomi,Technique
Jeanne d'Arc,Indefini
les adultes,Indefini
Sayagi,Technique
armee indienne,Technique
troupes birmane,Technique
Suriyawong,Technique
les taupes d'Achille,Indefini
Bonzo Madrid,Technique
l'armee thaie,Technique
Chakri,Politique
la chirurgienne d'Achille,Science
La Fayette,Technique
Steuben,Technique
Armee de Bean,Technique
Guillaume le Bon,Indefini
1er ministre indien,Politique
1er ministre pakistanais,Politique
Ribbentrop,Politique
Molotov,Politique
Frederic le grand,Politique
la famille d'Achille,Indefini
Dieu,Religion
premier ministre thailandais,Politique
Anton,Science
armee chinoise,Technique
gouvernement chinois,Politique
un general thai,Technique
un officier thai,Technique
ministre des affaires etrangeres chinois,Politique
general Phet Noi,Technique
pilote d'helicoptere,Technique
service de planification,Technique
Bose,Politique
colonel chinois,Technique
parents de Suryiawong,Indefini
