,Age
Locke/Demosthene,Adulte
Peter Wiggin,Enfant
Ender,Enfant
Bean,Enfant
Petra Arkanian,Enfant
Carlotta,Adulte
Achille,Enfant
Colonel Graff,Adulte
Polemarque,Adulte
Djish d'Ender,Enfant
Enfants des ecoles de guerres,Enfant
Pere de Petra,Adulte
Mere de Petra,Adulte
Frere de Petra,Enfant
petit Frere de Petra,Enfant
Dink Meeker,Enfant
Ami commun de chamrajnagar et locke,Adulte
Presse,Adulte
Armee Armenienne,Adulte
Major Anderson,Adulte
Mazer Rackhlam,Adulte
Infirmiere de la Flotte,Adulte
Voisins de Petra,Adulte
Cousins de Petra,Enfant
Collegues de Travail du pere de Petra,Adulte
Filles populaires de l'ecole de guerre,Enfant
Professeur,Adulte
Amis de Petra a l'ecole,Enfant
Conseille d'orientation,Adulte
Valentine Wiggin,Enfant
Nicolai Delphiki,Enfant
Auteur de l'enlevement,Adulte
Gouvernement armenien,Adulte
Forces de polemarque,Adulte
Julian Delpikini,Adulte
Elena Delphiki,Adulte
Colonel Dekanos,Adulte
General Thrakos,Adulte
9 autres enfants kidnappes,Enfant
Voisin de bean en vacances,Adulte
homme parmis les kidnappeurs,Adulte
Femme parmis les kidnappeurs,Adulte
Pied-Lourd,Adulte
Femme medecin,Adulte
Gardiens de Petra,Adulte
Hot Soup,Enfant
Shen,Enfant
Mazen Rackham,Adulte
Alai,Enfant
Poke,Enfant
Gardiens de Bean,Adulte
Molo la mouche,Enfant
Dumper,Enfant
vlad,Enfant
doryphores,Adulte
Soldat,Adulte
etudiants de la bibliotheque,Enfant
Alexandre le Grand,Adulte
napoleon,Adulte
jhon kennedy,Adulte
Winston Churchill,Adulte
Tom le Dingue,Enfant
Carn Carby,Enfant
konstan,Adulte
lettie,Adulte
Patient de l'hopital,Adulte
redacteur en chef de Peter,Adulte
Ami de Peter du Vatican,Adulte
Custer,Enfant
Ravisseurs,Adulte
Psychiatre russe,Adulte
Soldats russes,Adulte
Chauffeur,Adulte
Secretaire universite,Adulte
Staline,Adulte
Hitler,Adulte
Hegemon,Adulte
Stilson,Enfant
Mere Wiggin,Adulte
Pere Wiggin,Adulte
Hector Victorieux,Adulte
Helene,Adulte
Briseis,Adulte
Achille mythologie,Adulte
Guenievre,Adulte
Roxane,Adulte
Barsine,Adulte
Josephine,Adulte
Mordred,Adulte
Wellington,Adulte
Cassandre,Adulte
Virlomi,Enfant
Jeanne d'Arc,Adulte
les adultes,Adulte
Sayagi,Enfant
armee indienne,Adulte
troupes birmane,Adulte
Suriyawong,Enfant
les taupes d'Achille,Adulte
Bonzo Madrid,Enfant
l'armee thaie,Adulte
Chakri,Adulte
la chirurgienne d'Achille,Adulte
La Fayette,Adulte
Steuben,Adulte
Armee de Bean,Adulte
Guillaume le Bon,Adulte
1er ministre indien,Adulte
1er ministre pakistanais,Adulte
Ribbentrop,Adulte
Molotov,Adulte
Frederic le grand,Adulte
la famille d'Achille,Adulte
Dieu,Adulte
premier ministre thailandais,Adulte
Anton,Adulte
armee chinoise,Adulte
gouvernement chinois,Adulte
un general thai,Adulte
un officier thai,Adulte
ministre des affaires etrangeres chinois,Adulte
general Phet Noi,Adulte
pilote d'helicoptere,Adulte
service de planification,Enfant
Bose,Adulte
colonel chinois,Adulte
parents de Suryiawong,Adulte
