Personnage,Type
Vice Consul,Politique
le Père,Politique
John Preston,Technique
Errol Partridge,Technique
Cleric  Andrew Brandt,Technique
femme de john,Indéfini
fils de john,Technique
fille de john,Technique
Mary O'Brien,Technique
objet d'art,Indéfini
personne avec sentiments passive,Technique
chien,Indéfini
garde de la ville,Technique
police d'intervention,Technique
les ecclésiastes,Technique
peuple Librian,Technique
Jurgen chef de la résistance interne,Politique
Résistance dans la ville,Politique
Résistance en enfer,Technique
Bibliothéquère,Science
conseiller du vice consul,Politique
conseiller du père,Politique
technicien détecteur de mensonge,Science
technicien video,Science
technicien en art,Science
