Personnage,Sous emprise du Prozium
Vice Consul,Non
le Père,Indéfini
John Preston,Non
Errol Partridge,Non
Cleric  Andrew Brandt,Oui
femme de john,Non
fils de john,Non
fille de john,Non
Mary O'Brien,Non
objet d'art,Indéfini
personne avec sentiments passive,Non
chien,Indéfini
garde de la ville,Oui
police d'intervention,Oui
les ecclésiastes,Oui
peuple Librian,Oui
Jurgen chef de la résistance interne,Non
Résistance dans la ville,Non
Résistance en enfer,Non
Bibliothéquère,Oui
conseiller du vice consul,Oui
conseiller du père,Oui
technicien détecteur de mensonge,Oui
technicien video,Oui
technicien en art,Oui
