Personnages;Type
homme Marks;Indefini
Femme Marks;Indefini
Amant;Indefini
Les jumeaux;Sciences
Jumeau Agata;Sciences
Hero John;Technique
Femme enceinte;Indefini
Black Jade;Technique
Precogues;Sciences
Femme Jur?e;Politique
Homme Jur?e;Politique
Livreur de Journaux;Indefini
Fils Marks;Indefini
6 Suspects;Indefini
Danny Inspecteur;Politique
Blond Gordon;Technique
Famille/ami Marks;Indefini
Dieu;Religion
Police montÇ;Technique
Professeur Ynemann;Sciences
Evana pilote;Technique
Patrouille;Technique
Enfant dans le parc;Indefini
Inspecteur Scott;Technique
Technicien precogue Wally;Technique
Directeur Lamar;Politique
Dealer;Indefini
Fils mort de John;Indefini
Ex-John Lara;Indefini
Ministre de la Justice;Polique
Pèere inspecteur;Indefini
Mere morte d'aghata;Indefini
Meurtrier de la mère;Indefini
Le gardien gedeon;Technique
Prisonnier;Indefini
Femme du directeur;Indefini
Pèere de Lamar;Indefini
Victime Leo Crow;Art
FBI;technique
femme ag? avec pipe;Indefini
Personne lunette noir;Indefini
homme dans le m?tro;Indefini
famille dans l'immeuble;Indefini
Garcon au saxo;Indefini
Gens du ministere;Politique
Enfants anormaux;Sciences
Docteur clandestin;Sciences
Assistante;Technique
Femmes brul?es;Indefini
Policier Jeff;Technique
Personnes de l'immeuble;Indefini
Traqueur;Technique
Femme temoin;
Foule devant Precrime;Indefini
Maman de Wally;Indefini
Informaticien Rufus;Technique
Mecs cheloux;Indefini
Homme en costume bleu;Indefini
Femme noire;Indefini
Vendeur de ballon;Indefini
Femme asiatique;Indefini
Ivrogne;Indefini
Receptioniste;Indefini
"""Il""";Art
fille tres jolie Claire;Indefini
Journaliste;Politique
Invit? du banquet;Indefini
