Personnages,Type
homme Marks,Reel et vision
Femme Marks,Reel et vision
Amant,Reel et vision
Les jumeaux,Reel
Jumeau Agata,Reel
Hero John,Reel et vision
Femme enceinte,Reel
Black Jade,Reel
Precogues,Reel
Femme Jurée,Reel
Homme Juré,Reel
Livreur de Journaux,Reel
Fils Marks,Reel
6 Suspects,Mentionne
Danny Inspecteur,Reel
Blond Gordon,Reel
Famille/ami Marks,Mentionne
Dieu,Mentionne
Police montée,Reel et vision
Professeur Ynemann,Reel
Evana pilote,Reel
Patrouille,Reel
Enfant dans le parc,Reel et vision
Inspecteur Scott,Reel
Technicien precogue Wally,Reel
Directeur Lamar,Reel et vision
Dealer,Reel
Fils mort de John,Vision
Ex-John Lara,Reel
Ministre de la Justice,Mentionne
Père inspecteur,Mentionne
Mere morte d'aghata,Vision
Meurtrier de la mère,Vision
Le gardien gédéon,Reel
Prisonnier,Reel et vision
Femme du directeur,Reel
Père de Lamar,Mentionne
Victime Leo Crow,Reel et vision
FBI,Mentionne
femme agée avec pipe,Reel et vision
Personne lunette noir,Reel et vision
homme dans le métro,Reel et vision
famille dans l'immeuble,Reel
Garcon au saxo,Reel
Gens du ministere,Reel
Enfants anormals,Mentionne
Docteur clandestin,Reel
Assistante,Reel
Femmes brulées,Mentionne
Policier Jeff,Reel
Personnes de l'immeuble,Reel
Traqueur,Reel
Femme temoin,Reel
Foule devant Precrime,Reel
Maman de Wally,Mentionne
Informaticien Rufus,Reel
Mecs cheloux,Reel
Homme en costume bleu,Reel et vision
Femme noire,Reel et vision
Vendeur de ballon,Reel et vision
Femme asiatique,Reel et vision
Ivrogne,Reel et vision
Receptioniste,Reel
"""Il""",Reel et vision
fille tres jolie Claire,Mentionne
Journaliste,Reel
Invité du banquet,Reel
