Personnages,STP
Artyom,Technique
Les Noirs,Politique
Piotr Andreïevitch,Technique
Andreï Arkaditch,Technique
Père d'Artyom,Indéfini
Mère d'Artyom,Indéfini
Sacha Soukhoï (père adoptif),Technique
Kiril (homme d'Andreï),Technique
Hunter,Technique
Jeniya (ami d'Artyom),Technique
Vitalik (ami d'Artyom),Technique
Les Stalkers,Technique
Melnik,Technique
Famille de Jeniya,Technique
Voisins de Jeniya,Technique
Liokha (ami de Jeniya),Technique
Commandant de l'expédition,Technique
Nikita Vassilievitch (l'homme qui ferme la marche),Technique
Bourbon,Technique
Khan,Mystique
Groupe de voyage intimidé,Mystique
Présence dans le tunnel,Mystique
Touz,Technique
Gardes entrée Kitaï-Gorod,Technique
Habitants Kitaï-Gorod,Technique
Musiciens Kitaï-Gorod,Technique
Membre gang Kitaï-Gorod,Technique
Attaquant mistérieux Kitaï-Gorod,Technique
Mikhaïl Porfirievitch,Politique
Vanya,Indéfini
Hitler,Politique
Néonazis,Politique
Garde de Kouznetski Most,Technique
Constantin Alexeïevitch,Technique
Habitants Kouznetski Most,Technique
Cercle intellectuel de Barrikadnaya,Politique
Conseil de Polis,Politique
Enfants sans visage,Abomination
Prisonnier des néonazis,Technique
Bourreau néonazi,Technique
"Sauveteur, camarades soviétiques",Technique
Che Guevara,Politique
Habitants de Paveletskaya,Technique
Factionnaires de Paveletskaya,Technique
Monstre de Paveletskaya,Abomination
Sataniste,Mystique
Marc,Technique
Gardes de Paveletskaya,Technique
Administrateur de Paveletskaya,Politique
L'homme maigre,Technique
Le Rouquin,Technique
Le Godet,Technique
Expédition de l'Aviamotornaya,Technique
Le barbu au gilet de cuir,Technique
Livre,Science
Danilla,Science
Bibliothécaire,Abomination
Hôte,Politique
Militaires (polis),Technique
Garde âgé,Technique
Décyaty,Technique
Créature ailée,Abomination
Créatures extérieures terrestres,Abomination
Pavel,Politique
Fillette,Indéfini
Colporteurs,Technique
Arkadi,Technique
Tretiak,Technique
Anton,Technique
Femme d'Anton,Technique
Deux femmes ,Indéfini
Oleg,Indéfini
Cannibale mutant,Mystique
Hiérophante,Mystique
Grand Ver,Mystique
Ohlman,Technique
Arme biologique,Abomination
Serguei,Technique
Mikhail,Technique
Eminente autorité (machiniste),Technique
Employés du métro,Technique
Marchands ambulants/colporteurs,Technique
Commerçants de la Hanse,Technique
Carlos (mage de la Soukharevskaya),Mystique
Zyrba/Zarbi (vieux mage),Mystique
Alexandre Nicolaïevitch (chef VDNKh),Politique
Tolyan (ami de Bourbon),Technique
Habitants de la Polejaïevskaya,Technique
Habitants de la Begovaya,Technique
Habitants de la Savelovskaya,Technique
Habitants de la VDNKh,Technique
Habitants de l'Alexeïevskaya,Technique
Habitants de la Rijskaya,Technique
La Hanse,Politique
Les Rouges,Politique
Les néonazis 2,Politique
