,Type
Ye Zhetai,Science
Shao Lin,Science
Ye Wenjie,Science
Ye Wenxue,Politique
Lei Zhicheng,Politique
Yang Weining,Science
Yang Dong,Science
Ding yi,Science
Wang Miao,Science
Da Shi,Technique
Chang Weisi,Politique
Shen Yufei,Science
Wei Cheng,Science
Pan Han,Science
Sha Ruishan,Science
Mike Evans,Politique
Colonel Stanton,Technique
Red guards,Politique
Red Union Commander,Politique
April 28 brigade,Politique
Chairman Mao,Politique
Reactionaries,Politique
Einstein,Science
Shao Lin's father,Science
Ruan Wen,Science
Soviets,Politique
Bai Mulin,Technique
Ma Gang,Technique
Rachel Carlson,Technique
Construction Corps Company,Technique
Construction Corps Commander,Politique
Cheng Lihua,Politique
Central leadership,Politique
PLA,Technique
Red Coast staff,Technique
Police,Technique
Frontiers of Science,Science
Battle command center,Technique
NATO,Politique
Nanotech Director,Politique
Isaac Newton,Science
Dieu,Religion
Fu Xi,Religion
Von Neumann,Science
Qin Shi Huang,Politique
King Wen of Zhou,Politique
Follower of King Wen,Indéfini
Computer Qin 1,Technique
Mozi,Science
Wang Miao's wife,Indéfini
Wang Miao's son,Indéfini
Nanotech employees,Technique
Ophtamologist,Science
Astronauts,Technique
Dead scientists,Science
King Zhou,Politique
TB game population,Indéfini
Ye Wenjie's neighbor kids,Indéfini
Planetarium staffer,Indéfini
Confucius,Religion
Emperor Wu of Han,Politique
Trisolarans,Indéfini
Humans,Indéfini
3BP Players,Indéfini
Adventists,Politique
Redemptionists,Politique
ETO,Politique
Feng,Indéfini
Hunter Qi,Technique
Academy Of Science,Science
evans father,Technique
Survivors,Politique
UN,Politique
Listener 1379,Technique
Trisolaran princeps,Politique
Commander of trisolaran fleet,Politique
Trisolaran Fleet,Technique
Science Consul,Science
Military Consul,Technique
Industry Consul,Technique
Culture Consul,Politique
Agricultural Consul,Technique
Sophon One (IA),Technique
Sophon 2 3 4,Technique
Pope Gregory,Religion
Aristotle,Science
Galileo,Science
Leonardo da vinci,Science
Xu BingBing,Technique
Wei cheng's math teacher,Technique
Abbot,Religion
