,Attribut
Ye Zhetai,Humain
Shao Lin,Humain
Ye Wenjie,Humain
Ye Wenxue,Humain
Lei Zhicheng,Humain
Yang Weining,Humain
Yang Dong,Humain
Ding yi,Humain
Wang Miao,Humain
Da Shi,Humain
Chang Weisi,Humain
Shen Yufei,Humain
Wei Cheng,Humain
Pan Han,Humain
Sha Ruishan,Humain
Mike Evans,Humain
Colonel Stanton,Humain
Red guards,Humain
Red Union Commander,Humain
April 28 brigade,Humain
Chairman Mao,Humain
Reactionaries,Humain
Einstein,3 Body Character
Shao Lin's father,Humain
Ruan Wen,Humain
Soviets,Humain
Bai Mulin,Humain
Ma Gang,Humain
Rachel Carlson,Humain
Construction Corps Company,Humain
Construction Corps Commander,Humain
Cheng Lihua,Humain
Central leadership,Humain
PLA,Humain
Red Coast staff,Humain
Police,Humain
Frontiers of Science,Humain
Battle command center,Humain
NATO,Humain
Nanotech Director,Humain
Isaac Newton,3 Body Character
Dieu,Dieu
Fu Xi,3 Body Character
Von Neumann,3 Body Character
Qin Shi Huang,3 Body Character
King Wen of Zhou,3 Body Character
Follower of King Wen,3 Body Character
Computer Qin 1,3 Body Character
Mozi,3 Body Character
Wang Miao's wife,Humain
Wang Miao's son,Humain
Nanotech employees,Humain
Ophtamologist,Humain
Astronauts,Humain
Dead scientists,Humain
King Zhou,3 Body Character
TB game population,3 Body Character
Ye Wenjie's neighbor kids,Humain
Planetarium staffer,Humain
Confucius,3 Body Character
Emperor Wu of Han,3 Body Character
Trisolarans,Trisolaran
Humans,Humain
3BP Players,Humain
Adventists,Humain
Redemptionists,Humain
ETO,Humain
Feng,Humain
Hunter Qi,Humain
Academy Of Science,Humain
evans father,Humain
Survivors,Humain
UN,Humain
Listener 1379,Trisolaran
Trisolaran princeps,Trisolaran
Commander of trisolaran fleet,Trisolaran
Trisolaran Fleet,Trisolaran
Science Consul,Trisolaran
Military Consul,Trisolaran
Industry Consul,Trisolaran
Culture Consul,Trisolaran
Agricultural Consul,Trisolaran
Sophon One (IA),IA
Sophon 2 3 4,IA
Pope Gregory,3 Body Character
Aristotle,3 Body Character
Galileo,3 Body Character
Leonardo da vinci,3 Body Character
Xu BingBing,3 Body Character
Wei cheng's math teacher,Humain
Abbot,Humain
