Personnage,STP
Will Salas,Science
Rachel Salas (mere de will),Indéfini
Henry Hamilton,Politique
Sylvia Weis,Science
Philippe Weis,Politique
Raymond Leon (gardien du temps),Politique
Les gardiens du temps,Politique
Petite fille,Indéfini
Borel,Indéfini
Les fauches minutes,Science
Fortis (fauche minute),Indéfini
Greta (femme de borel),Indéfini
Chauffeur de taxi,Politique
Serveuse,Politique
Belle mere de philippe,Indéfini
Femme de philippe,Indéfini
Preteur sur gage,Indéfini
Donneur de temps,Politique
Chauffeur de bus,Politique
La balance,Indéfini
