Personnage,Zone
Will Salas,Ghetto
Rachel Salas (mere de will),Ghetto
Henry Hamilton,New Greenwish
Sylvia Weis,New Greenwish
Philippe Weis,New Greenwish
Raymond Leon (gardien du temps),Ghetto
Les gardiens du temps,Ghetto
Petite fille,Ghetto
Borel,Ghetto
Les fauches minutes,Ghetto
Fortis (fauche minute),Ghetto
Greta (femme de borel),Ghetto
Chauffeur de taxi,New Greenwish
Serveuse,New Greenwish
Belle mere de philippe,New Greenwish
Femme de philippe,New Greenwish
Preteur sur gage,Ghetto
Donneur de temps,Ghetto
Chauffeur de bus,Ghetto
La balance,Ghetto
