,type
Sybil; IA,Science / Politique
Dominator; Flingue,Science / Politique
Shusei Kagari; Executor,Technique
Yayoi Kunizuka; Executor,Technique
Shinya Kougami; Executor,Technique / Politique
Tomomi Masaoka; Executor,Technique
Nobuchika Ginoza; Inspecteur,Politique
Akane Tsunemori; Inspectrice,Politique
Shion Karanomori,Science
Makishima Shougo,Politique
Choe Gu-Sung; Hacker,Politique
"Toyohisa Senguji; ""Chasseur"" (Cyborg; ancien soldat)",N/A
Joshu Kasei; chef du DEC (poupée Sybil),Science / Politique
Police,N/A
Civils,N/A
Talisman,Politique
Lemonade Candy; Avatar d'Akane,N/A
Ami d'Akane sur internet,N/A
Publique de Talisman,N/A
Hayama Kimihiko; ancien Talisman,Politique
Spooky Boogie,Politique
Publique de Spooky Boogie,N/A
Mido Masatake; assasin voleur d'avatars,N/A
Sugawara Shôko; incarne Spokky Boogie,Politique
Shioyama Daisuke; victime usine de drones,N/A
Robots de l'usine de drones,Technique
Employés de l'usine de drones (inclus Yuuji Kanehara),Technique
Yuuji Kanehara; coupable usine,Technique
Directeur de l'usine de drones,Politique
Scanners de l'usine (non relié a Sybil),Technique
Fausse Spooky Boogie (Mido),Politique
Tokitô Yuichi; Collégien,N/A
Melancholia; avatar de Tokitô,N/A
Rouichi Ouryou; Peintre,Art
Rikako Ouryou; Étudiante (fait les statues glauques),Art
Personel médical,Science
Kuzuhara Satsuki; Étudiante (victime statue),N/A
Touma Kozaburo; Enseignant (suspect affaire du spécimen),Art
Sasayama; Executor (équipier de Kougami mort),Technique
Lycéennes de Osho,N/A
Yoshika Okubo; Lycéenne,N/A
Kawarazaki Kagami; Lycénee,N/A
Shimotsuki Mika; Lycéenne,N/A
Yamaguchi Masami; Lycéenne,N/A
Okura Nobuo; Criminel,Technique
Équipe d'interview,Technique
Jôji Saiga; Ancien professeur et analyste,Science
Shibata Yukimori; Retraité dont l'identité a été volée,N/A
Senateur; victime dans l'affaire du specimen,Politique
Peintre souple et louche; Prisonnier,Art
Directeur du Lycée,Politique
Sous-Directrice du Lycée,Politique
Tamora; Référence artistique,N/A
Rina; Leadeuse du groupe,Politique
Groupe de Rina; Prophecy,Art
Voix de l'enceinte d'insertion,N/A
Détenus,N/A
Robot facteur,N/A
Thugs,N/A
Otages,N/A
Victime bureau de la santé,N/A
Funahara Yuki; Amie d'Akane,N/A
Kaori; Amie d'Akane,N/A
Kudama Noboaki; Createur du système de nourriture,Politique
Jesus; Citation Makushima,N/A
Drones de la police,N/A
Descartes (citation Makishima),N/A
Hiroko Fuji (victime de Junmei Ito dans la rue),N/A
Jyunmei Itoh; Assassin (début ep 14),N/A
Types bizarres avec casque,N/A
William Gibson; écrivain (citation Choe Gu-Sung / Makishima),N/A
Philip K. Dick; écrivain (citation Makishima),N/A
George Orwell; écrivain (citation Makishima),N/A
Autres inspecteur / exécuteur du DEC,N/A
Poulpe d'Akane; IA holographique,N/A
Shakespeare (citation),N/A
Lavinia; fille de Titus dans «Titus Andronicus» de Shakespeare,N/A
Docteur/psychologue du DEC (dit a Ginoza que sa teinte sa craint),Science
Max Weber (citation Jôji Saiga),N/A
Foucault (citation Kougami),N/A
Jeremy Bentham (citation Kougami),N/A
Scientifiques (victimes ep14),Science
