,position
Sybil; IA,Sybil
Dominator; Flingue,Sybil
Shusei Kagari; Executor,Contre
Yayoi Kunizuka; Executor,Neutre
Shinya Kougami; Executor,Contre
Tomomi Masaoka; Executor,Contre
Nobuchika Ginoza; Inspecteur,Pour
Akane Tsunemori; Inspectrice,Contre
Shion Karanomori,Neutre
Makishima Shougo,Contre
Choe Gu-Sung; Hacker,Contre
"Toyohisa Senguji; ""Chasseur"" (Cyborg; ancien soldat)",Contre
Joshu Kasei; chef du DEC (poupée Sybil),Sybil
Police,Neutre
Civils,Neutre
Talisman,Neutre
Lemonade Candy; Avatar d'Akane,Neutre
Ami d'Akane sur internet,Neutre
Publique de Talisman,Neutre
Hayama Kimihiko; ancien Talisman,Neutre
Spooky Boogie,Contre
Publique de Spooky Boogie,Contre
Mido Masatake; assasin voleur d'avatars,Neutre
Sugawara Shôko; incarne Spokky Boogie,Neutre
Shioyama Daisuke; victime usine de drones,Neutre
Robots de l'usine de drones,Neutre
Employés de l'usine de drones (inclus Yuuji Kanehara),Neutre
Yuuji Kanehara; coupable usine,Neutre
Directeur de l'usine de drones,Pour
Scanners de l'usine (non relié a Sybil),Neutre
Fausse Spooky Boogie (Mido),Contre
Tokitô Yuichi; Collégien,Neutre
Melancholia; avatar de Tokitô,Neutre
Rouichi Ouryou; Peintre,Neutre
Rikako Ouryou; Étudiante (fait les statues glauques),Contre
Personel médical,Neutre
Kuzuhara Satsuki; Étudiante (victime statue),Neutre
Touma Kozaburo; Enseignant (suspect affaire du spécimen),Contre
Sasayama; Executor (équipier de Kougami mort),Pour
Lycéennes de Osho,Neutre
Yoshika Okubo; Lycéenne,Neutre
Kawarazaki Kagami; Lycénee,Neutre
Shimotsuki Mika; Lycéenne,Neutre
Yamaguchi Masami; Lycéenne,Neutre
Okura Nobuo; Criminel,Contre
Équipe d'interview,Neutre
Jôji Saiga; Ancien professeur et analyste,Contre
Shibata Yukimori; Retraité dont l'identité a été volée,Neutre
Senateur; victime dans l'affaire du specimen,Neutre
Peintre souple et louche; Prisonnier,Contre
Directeur du Lycée,Pour
Sous-Directrice du Lycée,Pour
Tamora; Référence artistique,Neutre
Rina; Leadeuse du groupe,Contre
Groupe de Rina; Prophecy,Contre
Voix de l'enceinte d'insertion,Neutre
Détenus,Contre
Robot facteur,Neutre
Thugs,Contre
Otages,Neutre
Victime bureau de la santé,Neutre
Funahara Yuki; Amie d'Akane,Neutre
Kaori; Amie d'Akane,Neutre
Kudama Noboaki; Createur du système de nourriture,Pour
Jesus; Citation Makushima,Neutre
Drones de la police,Sybil
Descartes (citation Makishima),Neutre
Hiroko Fuji (victime de Junmei Ito dans la rue),Neutre
Jyunmei Itoh; Assassin (début ep 14),Neutre
Types bizarres avec casque,Contre
William Gibson; écrivain (citation Choe Gu-Sung / Makishima),Neutre
Philip K. Dick; écrivain (citation Makishima),Neutre
George Orwell; écrivain (citation Makishima),Neutre
Autres inspecteur / exécuteur du DEC,Pour
Poulpe d'Akane; IA holographique,Pour
Shakespeare (citation),Neutre
Lavinia; fille de Titus dans «Titus Andronicus» de Shakespeare,Neutre
Docteur/psychologue du DEC (dit a Ginoza que sa teinte sa craint),Neutre
Max Weber (citation Jôji Saiga),Neutre
Foucault (citation Kougami),Neutre
Jeremy Bentham (citation Kougami),Neutre
Scientifiques (victimes ep14),Neutre
