,
Policier,
Clara,Technique
Classe de Clara,
Collegue de Clara,Technique
Tardis,Technique
Doctor 11,Science
Helicoptere,Technique
Osgood,Science
Kate Stewart,Politique/Militaire
Unit,Militaire
Reine Elisabeth 1,Politique
Scientifique 1,Science
War doctor,Science
Daleks,Technique
Peuple de Gallifrey,Politique
Soldats de Gallifrey,Politique
High Council of the Time Lords,Politique
Groupe Dalek,Technique
Dalek High Command,Politique
Commandement Gallifrey,Politique
The Moment,Technique
Rose Tyler/Bad Wolf,Technique
Time Lords,Politique
Doctor 10,Science
Zygons,Technique
Personnages dans la peinture,Technique
Compagnons du Docteur,Technique
Soldats britanniques,Politique
Garde black archive,Garde
Americans,Politique
Captain Jack Harkness,Technique
Scientifique 2,Science
Pretre,Religion
Kate Stewart's father,Politique/Militaire
la chute de Gallifrey/plus jamais,Technique
autres docteurs,Science
Conservateur musee,Art
