,
Policier,Terre 21eme
Clara,Intemporel
Classe de Clara,Terre 21eme
Collegue de Clara,Terre 21eme
Tardis,Intemporel
Doctor 11,Intemporel
Helicoptere,Terre 21eme
Osgood,Terre 21eme
Kate Stewart,Terre 21eme
Unit,Terre 21eme
Reine Elisabeth 1,Terre 16eme
Scientifique 1,Terre 21eme
War doctor,Intemporel
Daleks,Gallifrey
Peuple de Gallifrey,Gallifrey
Soldats de Gallifrey,Gallifrey
High Council of the Time Lords,Gallifrey
Groupe Dalek,Gallifrey
Dalek High Command,Gallifrey
Commandement Gallifrey,Gallifrey
The Moment,Intemporel
Rose Tyler/Bad Wolf,Intemporel
Time Lords,Gallifrey
Doctor 10,Intemporel
Zygons,Terre 21eme/Terre 16eme
Personnages dans la peinture,Terre 21eme/Terre 16eme
Compagnons du Docteur,Intemporel
Soldats britanniques,Terre 16eme
Garde black archive,Terre 21eme
Americans,Terre 21eme
Captain Jack Harkness,Terre 21eme
Scientifique 2,Terre 21eme
Pretre,Terre 16eme
Kate Stewart's father,Terre 21eme
la chute de Gallifrey/plus jamais,Terre 21eme
autres docteurs,Intemporel
Conservateur musee,Terre 21eme
