,Genre
"Alex Delarge",homme
"Mr Deltoid",homme
"Dim",homme
"Georgie",homme
"Pete",homme
"vendeur magasin disques",homme
"Victime du gang de Billyboy",femme
"Catlady",femme
"Alexander frank (ecrivain)",homme
"Mrs Alexander epouse violentee",femme
"le clochard",homme
"Mere d'Alex",femme
"Pere d'Alex",homme
"Inspecteur Tom (1)",homme
"Inspecteur de police (2)",homme
"Inspecteur de police (3)",homme
"Sergent (bureau)",homme
"Gardien acceuil prison",homme
"Gardien chef prison, Barnes",homme
"Gardien inventaire",homme
"Pretre prison",homme
"directeur prison",homme
"docteur Alcot",homme
"Gardien institut medical",homme
"Docteur Branom",femme
"Docteur Brodsky",homme
"Acteur Voyou",homme
"Sophisto (bar)",indef
"Policier (téléphone)",homme
"billyboy chef de gang",homme
"Droogies de billy (4)",homme
"Sonietta",femme
"Marty",femme
"videur du milkbar",homme
"videur du milkbar2",homme
"vieille dame au duke of york",femme
"Joe (locataire de la chambre d'Alex)",homme
"bande de clochards",homme
"Julien (aide de Mr Frank)",homme
"Amis de Mr Frank (2)",indef
"Infirmière(s)",femme
"Docteur",homme
"Psychiatre",femme
"Ministre de l'intérieur",homme
"Sir Leslie",homme
"Journalistes / Photographes",homme
"Public applaudissant (scène finale)",indef
"Fille nue sur Alex (scène finale)",femme
